url,provider,subject,area
51181,edX,Engineering,Physical Science and Engineering
51188,edX,Health & Safety,Life Sciences
51305,Coursera,Math and Logic,Math and Logic
51309,Coursera,Math and Logic,Math and Logic
51311,Coursera,Math and Logic,Math and Logic
51316,Coursera,Math and Logic,Math and Logic
51320,Coursera,Environmental Science and Sustainability,Physical Science and Engineering
51322,Coursera,Math and Logic,Math and Logic
51335,Coursera,Physics and Astronomy,Physical Science and Engineering
51339,edX,Business & Management,Business
51340,edX,Business & Management,Business
51341,edX,Music,Arts and Humanities
51362,edX,Architecture,Physical Science and Engineering
51366,edX,Business & Management,Business
51403,Coursera,Probability and Statistics,Data Science
51407,Coursera,History,Arts and Humanities
51409,Coursera,Biology,Life Sciences
51413,Coursera,Data Analysis,Data Science
51414,Coursera,Psychology,Social Sciences
51415,Coursera,Data Analysis,Data Science
51419,Coursera,Data Analysis,Data Science
51423,Coursera,Data Analysis,Data Science
51426,Coursera,Probability and Statistics,Data Science
51444,Coursera,Machine Learning,Data Science
51474,Coursera,Data Analysis,Data Science
51477,Coursera,Data Analysis,Data Science
51480,Coursera,Biology,Life Sciences
51481,Coursera,Data Analysis,Data Science
51482,edX,Art & Culture,Arts and Humanities
51484,edX,Business & Management,Business
51488,edX,Humanities,Language Learning
51560,edX,Engineering,Physical Science and Engineering
51723,Coursera,Design and Product,Computer Science
51729,Coursera,Leadership and Management,Business
51759,Coursera,Algorithms,Computer Science
51818,Coursera,Leadership and Management,Business
65185,edX,Health & Safety,Life Sciences
65195,edX,Humanities,Language Learning
65212,edX,Communication,Business
66034,Coursera,Medicine & Healthcare,Life Sciences
66273,edX,History,Arts and Humanities
67477,Coursera,Entrepreneurship,Business
68077,edX,Social Sciences,Social Sciences
68078,edX,Social Sciences,Social Sciences
68079,edX,Social Sciences,Social Sciences
68081,edX,Computer Science,Computer Science
68140,Coursera,Data Analysis,Data Science
68512,edX,Data Analysis,Data Science
68514,edX,Machine Learning,Data Science
68516,edX,Data Analysis & Statistics,Data Science
69201,edX,Economics & Finance,Business
69218,edX,Economics & Finance,Business
69226,edX,Math,Math and Logic
69232,edX,Biology & Life Sciences,Life Sciences
69519,edX,Math,Math and Logic
69531,edX,Business & Management,Business
69538,edX,Business & Management,Business
69545,edX,Environmental Studies,Physical Science and Engineering
69858,edX,Data Analysis & Statistics,Data Science
69877,edX,Music,Arts and Humanities
69878,edX,Business & Management,Business
69882,edX,Business & Management,Business
69896,edX,Mobile and Web Development,Computer Science
69899,edX,Computer Science,Computer Science
69937,edX,Engineering,Physical Science and Engineering
69964,edX,Computer Science,Computer Science
69968,edX,Entrepreneurship,Business
69976,edX,Engineering,Physical Science and Engineering
69982,edX,Business & Management,Business
69987,edX,Music,Arts and Humanities
70219,edX,Data Analysis & Statistics,Data Science
70223,edX,Engineering,Physical Science and Engineering
70232,edX,Data Analysis & Statistics,Data Science
75654,edX,Art & Culture,Arts and Humanities
78589,edX,Business & Management,Business
78606,edX,Engineering,Physical Science and Engineering
78860,edX,Communication,Business
80163,edX,Communication,Business
80164,edX,Social Sciences,Social Sciences
80611,edX,Business & Management,Business
80768,edX,Business & Management,Business
80844,edX,Data Analysis & Statistics,Data Science
80895,edX,Math and Logic,Math and Logic
80961,edX,Language,Language Learning
81056,edX,Data Analysis & Statistics,Data Science
81719,edX,Communication,Business
81878,edX,Health & Safety,Life Sciences
82101,edX,Computer Science,Computer Science
82175,edX,Business & Management,Business
82602,edX,Literature,Arts and Humanities
82610,edX,Education & Teacher Training,Social Sciences
82886,edX,Economics & Finance,Business
82896,edX,Philosophy & Ethics,Arts and Humanities
83014,edX,Computer Science,Computer Science
83015,edX,Data Analysis & Statistics,Data Science
83107,edX,Physics,Physical Science and Engineering
