url,index,course_id,review_platform,title,provider,subject,area,school,published_time,effort_hours (per_week),level,price,enrollment_type,course_length
https://www.class-central.com/mooc/1393/coursera-learning-to-teach-online,5451,classCentral-2120,classCentral,Learning to Teach Online,Coursera,Education,Social Sciences,University of New South Wales,2,4.5,Introductory,49,FREE audit/Pay for certificate,5
https://www.class-central.com/mooc/1343/coursera-age-of-jefferson,5452,classCentral-2121,classCentral,Age of Jefferson,Coursera,History,Arts and Humanities,University of Virginia,1,2,NA,49,FREE audit/Pay for certificate,7
https://www.class-central.com/mooc/1603/coursera-beyond-silicon-valley-growing-entrepreneurship-in-transitioning-economies,5453,classCentral-2122,classCentral,Beyond Silicon Valley: Growing Entrepreneurship in Transitioning Economies,Coursera,Entrepreneurship,Business,Case Western Reserve University,1,2.5,NA,49,FREE audit/Pay for certificate,6
https://www.class-central.com/mooc/1723/coursera-the-changing-global-order,5454,classCentral-2123,classCentral,The Changing Global Order,Coursera,Governance and Society,Social Sciences,Leiden University,1,7,Intermediate,49,FREE audit/Pay for certificate,7
https://www.class-central.com/mooc/1716/coursera-reproducible-research,5455,classCentral-2124,classCentral,Reproducible Research,Coursera,Data Analysis,Data Science,Johns Hopkins University,1,6.5,NA,49,FREE audit/Pay for certificate,4
https://www.class-central.com/mooc/2303/coursera-teaching-the-violin-and-viola-creating-a-healthy-foundation,5456,classCentral-2125,classCentral,Teaching the Violin and Viola: Creating a Healthy Foundation,Coursera,Music and Art,Arts and Humanities,Northwestern University,2,4,NA,49,FREE audit/Pay for certificate,10
https://www.class-central.com/mooc/2721/coursera-effective-problem-solving-and-decision-making,5457,classCentral-2126,classCentral,Effective Problem-Solving and Decision-Making,Coursera,Business Essentials,Business,"University of California, Irvine",2,6,NA,39,FREE audit/Pay for certificate,4
https://www.class-central.com/mooc/2757/coursera-inferential-statistics,5458,classCentral-2127,classCentral,Inferential Statistics,Coursera,Probability and Statistics,Data Science,University of Amsterdam,3,6,Introductory,49,FREE audit/Pay for certificate,5
https://www.class-central.com/mooc/2740/coursera-process-improvement,5459,classCentral-2128,classCentral,Process Improvement,Coursera,Business Strategy,Business,University of Illinois at Urbana-Champaign,3,7,NA,79,FREE audit/Pay for certificate,4
https://www.class-central.com/mooc/2726/coursera-finance-for-non-financial-professionals,5460,classCentral-2129,classCentral,Finance for Non-Financial Professionals,Coursera,Finance,Business,"University of California, Irvine",2,6,NA,39,FREE audit/Pay for certificate,4
https://www.class-central.com/mooc/2733/coursera-pattern-discovery-in-data-mining,5461,classCentral-2130,classCentral,Pattern Discovery in Data Mining,Coursera,Data Analysis,Data Science,University of Illinois at Urbana-Champaign,2,5,NA,79,FREE audit/Pay for certificate,4
https://www.class-central.com/mooc/2752/coursera-managerial-accounting-tools-for-facilitating-and-guiding-business-decisions,5462,classCentral-2131,classCentral,Managerial Accounting: Tools for Facilitating and Guiding Business Decisions,Coursera,Finance,Business,University of Illinois at Urbana-Champaign,2,7,NA,79,FREE audit/Pay for certificate,4
https://www.class-central.com/mooc/2872/coursera-an-introduction-to-american-law,5463,classCentral-2132,classCentral,An Introduction to American Law,Coursera,Law,Social Sciences,University of Pennsylvania,2,1.5,Introductory,49,FREE audit/Pay for certificate,7
https://www.class-central.com/mooc/3008/coursera-america-s-unwritten-constitution,5464,classCentral-2133,classCentral,America's Unwritten Constitution,Coursera,Law,Social Sciences,Yale University,2,13.5,NA,49,FREE audit/Pay for certificate,6
https://www.class-central.com/mooc/3539/coursera-more-introduction-to-financial-accounting,5465,classCentral-2134,classCentral,More Introduction to Financial Accounting,Coursera,Finance,Business,University of Pennsylvania,2,7,NA,95,FREE audit/Pay for certificate,6
https://www.class-central.com/mooc/4087/coursera-global-environmental-management,5466,classCentral-2135,classCentral,Global Environmental Management,Coursera,Environmental Science and Sustainability,Physical Science and Engineering,Technical University of Denmark (DTU),3,8,Intermediate,49,FREE audit/Pay for certificate,5
https://www.class-central.com/mooc/4190/coursera-advanced-styling-with-responsive-design,5467,classCentral-2136,classCentral,Advanced Styling with Responsive Design,Coursera,Mobile and Web Development,Computer Science,University of Michigan,3,2,NA,49,FREE audit/Pay for certificate,4
https://www.class-central.com/mooc/4203/coursera-data-structures-and-performance,5468,classCentral-2137,classCentral,Data Structures and Performance,Coursera,Algorithms,Computer Science,"University of California, San Diego",3,8,Intermediate,49,FREE audit/Pay for certificate,6
https://www.class-central.com/mooc/4171/coursera-revolutionary-ideas-borders-elections-constitutions-prisons,5469,classCentral-2138,classCentral,"Revolutionary Ideas: Borders, Elections, Constitutions, Prisons",Coursera,Philosophy,Arts and Humanities,University of Pennsylvania,3,NA,NA,49,FREE audit/Pay for certificate,5
https://www.class-central.com/mooc/4183/coursera-inspiring-and-motivating-individuals,5470,classCentral-2139,classCentral,Inspiring and Motivating Individuals,Coursera,Leadership and Management,Business,University of Michigan,3,4,NA,49,FREE audit/Pay for certificate,4
https://www.class-central.com/mooc/4265/coursera-interfacing-with-the-raspberry-pi,5471,classCentral-2140,classCentral,Interfacing with the Raspberry Pi,Coursera,Electrical Engineering,Physical Science and Engineering,"University of California, Irvine",4,3,NA,49,FREE audit/Pay for certificate,4
https://www.class-central.com/mooc/4234/coursera-revolutionary-ideas-utility-justice-equality-freedom,5472,classCentral-2141,classCentral,"Revolutionary Ideas: Utility, Justice, Equality, Freedom",Coursera,Governance and Society,Social Sciences,University of Pennsylvania,3,NA,NA,49,FREE audit/Pay for certificate,5
https://www.class-central.com/mooc/4246/coursera-leading-organizations,5473,classCentral-2142,classCentral,Leading Organizations,Coursera,Leadership and Management,Business,HEC Paris,3,4.5,NA,79,FREE audit/Pay for certificate,4
https://www.class-central.com/mooc/4258/coursera-ruby-on-rails-an-introduction,5474,classCentral-2143,classCentral,Ruby on Rails: An Introduction,Coursera,Mobile and Web Development,Computer Science,Johns Hopkins University,3,2.5,NA,49,FREE audit/Pay for certificate,3
https://www.class-central.com/mooc/4272/coursera-using-databases-with-python,5475,classCentral-2144,classCentral,Using Databases with Python,Coursera,Software Development,Computer Science,University of Michigan,3,2.5,NA,49,FREE audit/Pay for certificate,5
https://www.class-central.com/mooc/4323/coursera-java-programming-principles-of-software-design,5476,classCentral-2145,classCentral,Java Programming: Principles of Software Design,Coursera,Software Development,Computer Science,Duke University,3,6,Introductory,49,FREE audit/Pay for certificate,4
https://www.class-central.com/mooc/4289/coursera-machine-learning-regression,5477,classCentral-2146,classCentral,Machine Learning: Regression,Coursera,Machine Learning,Data Science,University of Washington,3,6.5,NA,49,FREE audit/Pay for certificate,6
https://www.class-central.com/mooc/4347/coursera-giving-sense-to-your-leadership-experience,5478,classCentral-2147,classCentral,Giving Sense to Your Leadership Experience,Coursera,Leadership and Management,Business,HEC Paris,3,NA,NA,79,FREE audit/Pay for certificate,4
https://www.class-central.com/mooc/4518/coursera-networking-and-security-in-ios-applications,5479,classCentral-2148,classCentral,Networking and Security in iOS Applications,Coursera,Computer Security and Networks,Computer Science,"University of California, Irvine",4,6,NA,39,FREE audit/Pay for certificate,4
https://www.class-central.com/mooc/4900/coursera-the-power-of-markets-ii-market-structure-and-firm-behavior,5480,classCentral-2149,classCentral,The Power of Markets II: Market Structure and Firm Behavior,Coursera,Business Essentials,Business,University of Rochester,3,NA,NA,49,FREE audit/Pay for certificate,4
https://www.class-central.com/mooc/5066/coursera-calculus-single-variable-part-1-functions,5481,classCentral-2150,classCentral,Calculus: Single Variable Part 1 - Functions,Coursera,Math and Logic,Math and Logic,University of Pennsylvania,3,7,NA,NA,NA,4
https://www.class-central.com/mooc/5028/coursera-communicating-data-science-results,5482,classCentral-2151,classCentral,Communicating Data Science Results,Coursera,Data Analysis,Data Science,University of Washington,3,NA,NA,49,FREE audit/Pay for certificate,3
https://www.class-central.com/mooc/5251/coursera-foundations-of-everyday-leadership,5483,classCentral-2152,classCentral,Foundations of Everyday Leadership,Coursera,Leadership and Management,Business,University of Illinois at Urbana-Champaign,3,NA,NA,79,FREE audit/Pay for certificate,4
https://www.class-central.com/mooc/5319/coursera-water-resources-management-and-policy,5484,classCentral-2153,classCentral,Water Resources Management and Policy,Coursera,Governance and Society,Social Sciences,University of Geneva,3,NA,NA,49,FREE audit/Pay for certificate,5
https://www.class-central.com/mooc/5535/coursera-advanced-content-and-social-tactics-to-optimize-seo,5485,classCentral-2154,classCentral,Advanced Content and Social Tactics to Optimize SEO,Coursera,Marketing,Business,"University of California, Davis",3,2,NA,49,FREE audit/Pay for certificate,4
https://www.class-central.com/mooc/5516/coursera-innovation-career-lessons-from-a-master,5486,classCentral-2155,classCentral,Innovation Career Lessons from a Master,Coursera,Entrepreneurship,Business,Technion - Israel Institute of Technology,3,2.5,Introductory,49,FREE audit/Pay for certificate,4
https://www.class-central.com/mooc/5484/coursera-search-engine-optimization-fundamentals,5487,classCentral-2156,classCentral,Search Engine Optimization Fundamentals,Coursera,Marketing,Business,"University of California, Davis",3,2,NA,49,FREE audit/Pay for certificate,4
https://www.class-central.com/mooc/5489/coursera-fundamentals-of-gis,5488,classCentral-2157,classCentral,Fundamentals of GIS,Coursera,Environmental Science and Sustainability,Physical Science and Engineering,"University of California, Davis",3,4,NA,49,FREE audit/Pay for certificate,4
https://www.class-central.com/mooc/5491/coursera-international-entertainment-and-sports-marketing,5489,classCentral-2158,classCentral,International Entertainment and Sports Marketing,Coursera,Marketing,Business,Yonsei University,3,2.5,NA,49,FREE audit/Pay for certificate,3
https://www.class-central.com/mooc/5496/coursera-coaching-practices,5490,classCentral-2159,classCentral,Coaching Practices,Coursera,Leadership and Management,Business,"University of California, Davis",3,2.5,NA,49,FREE audit/Pay for certificate,4
https://www.class-central.com/mooc/5713/coursera-business-model-canvas-a-tool-for-entrepreneurs-and-innovators-project-centered-course,5491,classCentral-2160,classCentral,Business Model Canvas: A Tool for Entrepreneurs and Innovators (Project-Centered Course),Coursera,Business Strategy,Business,University System of Georgia,3,NA,Introductory,49,FREE audit/Pay for certificate,8
https://www.class-central.com/mooc/5718/coursera-script-writing-write-a-pilot-episode-for-a-tv-or-web-series-project-centered-course,5492,classCentral-2161,classCentral,Script Writing: Write a Pilot Episode for a TV or Web Series (Project-Centered Course),Coursera,Music and Art,Arts and Humanities,Michigan State University,3,NA,NA,49,FREE audit/Pay for certificate,5
https://www.class-central.com/mooc/5612/coursera-gis-data-formats-design-and-quality,5493,classCentral-2162,classCentral,"GIS Data Formats, Design and Quality",Coursera,Environmental Science and Sustainability,Physical Science and Engineering,"University of California, Davis",3,2.5,Intermediate,49,FREE audit/Pay for certificate,4
https://www.class-central.com/mooc/5617/coursera-structure-building-the-frame-for-business-growth,5494,classCentral-2163,classCentral,Structure: Building the Frame for Business Growth,Coursera,Entrepreneurship,Business,Michigan State University,3,2,NA,49,FREE audit/Pay for certificate,4
https://www.class-central.com/mooc/5732/coursera-economic-growth-and-distributive-justice-part-ii-maximize-social-wellbeing,5495,classCentral-2164,classCentral,Economic Growth and Distributive Justice Part II - Maximize Social Wellbeing,Coursera,Law,Social Sciences,Tel Aviv University,3,NA,NA,49,FREE audit/Pay for certificate,5
https://www.class-central.com/mooc/5910/coursera-social-norms-social-change-i,5496,classCentral-2165,classCentral,"Social Norms, Social Change I",Coursera,Governance and Society,Social Sciences,University of Pennsylvania,3,NA,Introductory,49,FREE audit/Pay for certificate,4
https://www.class-central.com/mooc/5960/coursera-parallel-programming,5497,classCentral-2166,classCentral,Parallel programming,Coursera,Software Development,Computer Science,?cole Polytechnique F?d?rale de Lausanne,3,NA,Intermediate,49,FREE audit/Pay for certificate,4
https://www.class-central.com/mooc/5991/coursera-the-3d-printing-revolution,5498,classCentral-2167,classCentral,The 3D Printing Revolution,Coursera,Entrepreneurship,Business,University of Illinois at Urbana-Champaign,3,3.5,Introductory,49,FREE audit/Pay for certificate,2
https://www.class-central.com/mooc/6204/coursera-market-research-and-consumer-behavior,5499,classCentral-2168,classCentral,Market Research and Consumer Behavior,Coursera,Marketing,Business,IE Business School,3,1.5,Introductory,49,FREE audit/Pay for certificate,4
https://www.class-central.com/mooc/6184/coursera-mechanics-of-materials-iii-beam-bending,5500,classCentral-2169,classCentral,Mechanics of Materials III: Beam Bending,Coursera,Mechanical Engineering,Physical Science and Engineering,Georgia Institute of Technology,3,NA,Intermediate,49,FREE audit/Pay for certificate,5
