url,time-1,time-2,time-3,time-4
16426,FALSE,TRUE,TRUE,FALSE
83217,FALSE,FALSE,FALSE,TRUE
90828,FALSE,FALSE,FALSE,TRUE
92822,NA,NA,NA,NA
36403,NA,NA,NA,NA
48094,FALSE,FALSE,TRUE,FALSE
71679,FALSE,FALSE,FALSE,TRUE
82887,FALSE,FALSE,FALSE,TRUE
89907,FALSE,FALSE,FALSE,TRUE
65219,FALSE,FALSE,TRUE,TRUE
51187,FALSE,TRUE,TRUE,FALSE
84171,FALSE,FALSE,FALSE,TRUE
20043,FALSE,TRUE,TRUE,FALSE
81430,FALSE,TRUE,TRUE,TRUE
14128,NA,NA,NA,NA
45471,FALSE,FALSE,TRUE,FALSE
51370,FALSE,FALSE,TRUE,TRUE
84170,NA,NA,NA,NA
51189,FALSE,TRUE,TRUE,FALSE
80171,FALSE,TRUE,TRUE,TRUE
48827,FALSE,FALSE,TRUE,FALSE
14129,TRUE,FALSE,FALSE,FALSE
70675,FALSE,TRUE,TRUE,TRUE
68085,FALSE,FALSE,FALSE,TRUE
71721,FALSE,FALSE,FALSE,TRUE
81721,TRUE,TRUE,TRUE,TRUE
83285,FALSE,FALSE,FALSE,TRUE
28816,FALSE,TRUE,TRUE,FALSE
69221,FALSE,FALSE,TRUE,TRUE
14086,TRUE,FALSE,TRUE,FALSE
69233,FALSE,FALSE,FALSE,TRUE
34584,FALSE,TRUE,TRUE,FALSE
65197,FALSE,FALSE,TRUE,FALSE
75539,NA,NA,NA,NA
47057,FALSE,FALSE,TRUE,TRUE
45474,FALSE,FALSE,TRUE,TRUE
34571,FALSE,TRUE,FALSE,FALSE
69548,FALSE,FALSE,FALSE,TRUE
71511,NA,NA,NA,NA
83110,FALSE,TRUE,TRUE,TRUE
81647,FALSE,FALSE,FALSE,TRUE
36358,FALSE,TRUE,TRUE,FALSE
34591,TRUE,TRUE,TRUE,FALSE
25806,FALSE,TRUE,TRUE,FALSE
81350,FALSE,FALSE,FALSE,TRUE
83284,FALSE,FALSE,FALSE,TRUE
71715,FALSE,FALSE,FALSE,TRUE
65218,FALSE,FALSE,TRUE,FALSE
34818,FALSE,TRUE,FALSE,FALSE
27438,FALSE,TRUE,TRUE,TRUE
49803,FALSE,FALSE,TRUE,FALSE
51342,FALSE,FALSE,TRUE,FALSE
36357,FALSE,TRUE,TRUE,FALSE
47046,TRUE,FALSE,TRUE,TRUE
41552,FALSE,TRUE,FALSE,FALSE
36370,FALSE,TRUE,TRUE,FALSE
83211,FALSE,FALSE,TRUE,TRUE
48088,FALSE,TRUE,TRUE,FALSE
82872,FALSE,FALSE,TRUE,TRUE
46927,FALSE,FALSE,TRUE,FALSE
49837,FALSE,TRUE,TRUE,FALSE
70228,FALSE,FALSE,TRUE,TRUE
36547,FALSE,TRUE,FALSE,FALSE
34567,FALSE,TRUE,FALSE,FALSE
51362,FALSE,FALSE,TRUE,FALSE
70224,FALSE,FALSE,FALSE,TRUE
65229,FALSE,FALSE,FALSE,TRUE
36234,TRUE,FALSE,TRUE,FALSE
78600,FALSE,FALSE,FALSE,TRUE
27945,NA,NA,NA,NA
51487,FALSE,FALSE,TRUE,TRUE
48832,FALSE,FALSE,TRUE,TRUE
45332,NA,NA,NA,NA
47113,FALSE,TRUE,TRUE,TRUE
65176,FALSE,FALSE,TRUE,FALSE
68083,FALSE,FALSE,TRUE,TRUE
51556,TRUE,TRUE,TRUE,FALSE
36235,TRUE,FALSE,TRUE,FALSE
50067,FALSE,FALSE,TRUE,TRUE
45510,FALSE,FALSE,TRUE,FALSE
88868,FALSE,TRUE,TRUE,TRUE
29847,TRUE,TRUE,TRUE,FALSE
47124,NA,NA,NA,NA
68050,FALSE,FALSE,TRUE,TRUE
81878,FALSE,FALSE,TRUE,TRUE
34704,TRUE,TRUE,TRUE,TRUE
51483,FALSE,FALSE,TRUE,FALSE
14098,TRUE,TRUE,TRUE,TRUE
47764,FALSE,FALSE,TRUE,FALSE
82602,NA,NA,NA,NA
82894,FALSE,FALSE,FALSE,TRUE
82204,FALSE,FALSE,FALSE,TRUE
84122,FALSE,FALSE,FALSE,TRUE
34834,FALSE,TRUE,TRUE,FALSE
92833,FALSE,FALSE,FALSE,TRUE
70225,FALSE,FALSE,FALSE,TRUE
83786,FALSE,FALSE,TRUE,TRUE
45509,FALSE,FALSE,TRUE,TRUE
46965,FALSE,FALSE,TRUE,FALSE
92783,NA,NA,NA,NA
45217,FALSE,TRUE,TRUE,FALSE
70237,FALSE,FALSE,FALSE,TRUE
45226,FALSE,FALSE,TRUE,TRUE
83118,FALSE,FALSE,FALSE,TRUE
69225,FALSE,TRUE,TRUE,TRUE
69871,FALSE,FALSE,FALSE,TRUE
65181,FALSE,FALSE,TRUE,FALSE
71725,FALSE,TRUE,TRUE,TRUE
46991,FALSE,FALSE,TRUE,FALSE
84172,FALSE,FALSE,FALSE,TRUE
80333,FALSE,FALSE,FALSE,TRUE
112928,FALSE,FALSE,FALSE,TRUE
112929,TRUE,TRUE,TRUE,TRUE
112753,NA,NA,NA,NA
70238,NA,NA,NA,NA
35902,TRUE,FALSE,FALSE,FALSE
28531,FALSE,TRUE,FALSE,FALSE
112511,NA,NA,NA,NA
68066,FALSE,FALSE,TRUE,FALSE
78613,FALSE,FALSE,FALSE,FALSE
93076,NA,NA,NA,NA
112926,FALSE,FALSE,FALSE,TRUE
112945,TRUE,TRUE,TRUE,TRUE
82603,FALSE,FALSE,FALSE,TRUE
112934,FALSE,FALSE,FALSE,TRUE
92971,FALSE,FALSE,FALSE,TRUE
112749,NA,NA,NA,NA
112930,FALSE,TRUE,TRUE,TRUE
69895,FALSE,TRUE,TRUE,TRUE
78632,FALSE,FALSE,FALSE,FALSE
69890,FALSE,FALSE,FALSE,TRUE
112946,FALSE,TRUE,TRUE,TRUE
82898,FALSE,FALSE,FALSE,FALSE
69258,NA,NA,NA,NA
83114,FALSE,FALSE,TRUE,TRUE
89847,FALSE,FALSE,FALSE,FALSE
92725,FALSE,FALSE,FALSE,FALSE
78614,FALSE,FALSE,FALSE,FALSE
86964,FALSE,FALSE,FALSE,FALSE
84133,FALSE,FALSE,FALSE,FALSE
89846,FALSE,FALSE,FALSE,FALSE
92966,NA,NA,NA,NA
89781,FALSE,FALSE,TRUE,TRUE
92970,FALSE,FALSE,FALSE,TRUE
34642,TRUE,TRUE,TRUE,FALSE
78628,FALSE,FALSE,FALSE,FALSE
92825,NA,NA,NA,NA
90831,FALSE,FALSE,FALSE,TRUE
84196,FALSE,FALSE,FALSE,FALSE
92724,FALSE,FALSE,FALSE,TRUE
92968,NA,NA,NA,NA
92827,FALSE,FALSE,FALSE,TRUE
84145,FALSE,FALSE,FALSE,TRUE
82173,FALSE,FALSE,TRUE,TRUE
83215,FALSE,FALSE,FALSE,TRUE
47033,FALSE,FALSE,TRUE,FALSE
112271,NA,NA,NA,NA
92959,NA,NA,NA,NA
78562,FALSE,FALSE,FALSE,TRUE
89844,FALSE,FALSE,FALSE,TRUE
88866,FALSE,FALSE,FALSE,TRUE
45524,FALSE,TRUE,TRUE,FALSE
69982,FALSE,FALSE,FALSE,TRUE
90809,FALSE,FALSE,FALSE,TRUE
92969,NA,NA,NA,NA
51351,FALSE,FALSE,TRUE,TRUE
68052,FALSE,FALSE,TRUE,TRUE
