course_id,title,provider,area,subject,school,time_school_ranking,total_review_rating,total_review_count,published_time,time,session_open,time_review_count,time_review_rating,time_avg_helpful_review_score,time_avg_moderate_review,time_avg_review_length,total_review_rating,time_avg_high_review,time_avg_low_review,effort_hours (per_week),level,price,enrollment_type,course_length,url,in-degree,out-degree,closeness,betweenness,eigenvector,transitivity,constraint
classCentral-3,Introduction to Investments,edX,NA,Business & Management,Indian Institute of Management Bangalore,NA,5,1,3,3,TRUE,0,0,0,0,0,5,0,0,5,Intermediate,25,FREE audit/Pay for certificate,5,https://www.class-central.com/mooc/5999/edx-introduction-to-investments,NA,NA,NA,NA,NA,NA,NA
classCentral-3,Introduction to Investments,edX,NA,Business & Management,Indian Institute of Management Bangalore,NA,5,1,3,4,TRUE,1,5.0,0.0,0.0,0.0,5,1.0,0.0,5,Intermediate,25,FREE audit/Pay for certificate,5,https://www.class-central.com/mooc/5999/edx-introduction-to-investments,0.000910746812386157,0,0.000911576271453798,0,0,0,1.00004626469832
classCentral-4,Stand up for Science: Practical Approaches to Discussing Science that Matters,edX,NA,Science,University of Michigan,22,0,0,4,1,FALSE,0,0,0,0,0,0,0,0,3.5,Introductory,25,FREE audit/Pay for certificate,1,https://www.class-central.com/mooc/8262/edx-stand-up-for-science-practical-approaches-to-discussing-science-that-matters,NA,NA,NA,NA,NA,NA,NA
classCentral-4,Stand up for Science: Practical Approaches to Discussing Science that Matters,edX,NA,Science,University of Michigan,23,0,0,4,2,FALSE,0,0,0,0,0,0,0,0,3.5,Introductory,25,FREE audit/Pay for certificate,1,https://www.class-central.com/mooc/8262/edx-stand-up-for-science-practical-approaches-to-discussing-science-that-matters,NA,NA,NA,NA,NA,NA,NA
classCentral-4,Stand up for Science: Practical Approaches to Discussing Science that Matters,edX,NA,Science,University of Michigan,30,0,0,4,3,FALSE,0,0,0,0,0,0,0,0,3.5,Introductory,25,FREE audit/Pay for certificate,1,https://www.class-central.com/mooc/8262/edx-stand-up-for-science-practical-approaches-to-discussing-science-that-matters,NA,NA,NA,NA,NA,NA,NA
classCentral-4,Stand up for Science: Practical Approaches to Discussing Science that Matters,edX,NA,Science,University of Michigan,23,0,0,4,4,TRUE,0,0,0,0,0,0,0,0,3.5,Introductory,25,FREE audit/Pay for certificate,1,https://www.class-central.com/mooc/8262/edx-stand-up-for-science-practical-approaches-to-discussing-science-that-matters,NA,NA,NA,NA,NA,NA,NA
classCentral-5,Precalculus,edX,NA,Math,Arizona State University,293,0,0,4,1,FALSE,0,0,0,0,0,0,0,0,NA,Intermediate,49,FREE audit/Pay for certificate,NA,https://www.class-central.com/mooc/8489/edx-precalculus,NA,NA,NA,NA,NA,NA,NA
classCentral-5,Precalculus,edX,NA,Math,Arizona State University,294,0,0,4,2,FALSE,0,0,0,0,0,0,0,0,NA,Intermediate,49,FREE audit/Pay for certificate,NA,https://www.class-central.com/mooc/8489/edx-precalculus,NA,NA,NA,NA,NA,NA,NA
classCentral-5,Precalculus,edX,NA,Math,Arizona State University,249,0,0,4,3,FALSE,0,0,0,0,0,0,0,0,NA,Intermediate,49,FREE audit/Pay for certificate,NA,https://www.class-central.com/mooc/8489/edx-precalculus,NA,NA,NA,NA,NA,NA,NA
classCentral-5,Precalculus,edX,NA,Math,Arizona State University,222,0,0,4,4,TRUE,0,0,0,0,0,0,0,0,NA,Intermediate,49,FREE audit/Pay for certificate,NA,https://www.class-central.com/mooc/8489/edx-precalculus,NA,NA,NA,NA,NA,NA,NA
