"","degree","closeness","betweenness","eigenvector","transitivity","constraint","isolate","foldness","url","time"
"772",0,9.58348267593837e-07,0,0.000226974084614271,0,0,1,0,"https://www.class-central.com/mooc/624/coursera-microeconomics-the-power-of-markets",3
"773",50,5.79018679142589e-06,5272.61646570273,0.00820068898684299,0.293877551020408,0.055655471379358,0,6,"https://www.class-central.com/mooc/701/coursera-terrorism-and-counterterrorism-comparing-theory-and-practice",3
"774",91,5.79364205720642e-06,7129.73638624057,0.0436561860430261,0.28986568986569,0.034854766794297,0,20,"https://www.class-central.com/mooc/840/coursera-developing-innovative-ideas-for-new-companies-the-first-step-in-entrepreneurship",3
"775",1,5.76166304642172e-06,0,0.00619637541770072,0,1.00000741218805,0,0,"https://www.class-central.com/mooc/852/coursera-aleatoire-une-introduction-aux-probabilites-partie-1",3
"776",54,5.79152815261835e-06,1282.21287137548,0.103037888508012,0.515024458420685,0.0524932286582341,0,9,"https://www.class-central.com/mooc/1387/coursera-introduction-to-neuroeconomics-how-the-brain-makes-decisions",3
"777",198,5.79797534700882e-06,15150.7768323594,1,0.215659129364713,0.0415093110709458,0,31,"https://www.class-central.com/mooc/1712/coursera-the-data-scientist-s-toolbox",3
"778",95,5.79380989350977e-06,2074.44873957577,0.23114273735612,0.511310190369541,0.0439841383520149,0,40,"https://www.class-central.com/mooc/1724/coursera-principles-of-computing-part-1",3
"779",13,5.7724389131652e-06,3.59075711765685,0.000670128429149685,1,0.193999339792769,0,3,"https://www.class-central.com/mooc/2082/coursera-introduction-to-key-constitutional-concepts-and-supreme-court-cases",3
"780",0,9.58348267593837e-07,0,0.000226974084614271,0,0,1,0,"https://www.class-central.com/mooc/2741/coursera-operations-management",3
"781",55,5.78944930758186e-06,2141.15357269736,0.0268118887205714,0.516498316498316,0.0538833149506979,0,18,"https://www.class-central.com/mooc/2708/coursera-innovation-for-entrepreneurs-from-idea-to-marketplace",3
"782",70,5.79042148477988e-06,4482.87281964377,0.0105024975854387,0.64472049689441,0.0473837572241955,0,12,"https://www.class-central.com/mooc/2900/coursera-psychological-first-aid",3
"783",14,5.77700751010976e-06,525.467457834834,0.00160498526198909,0.626373626373626,0.170531618493355,0,4,"https://www.class-central.com/mooc/2986/coursera-moral-foundations-of-politics",3
