from,to
https://www.class-central.com/mooc/340/coursera-algorithms-part-ii,https://www.class-central.com/mooc/616/coursera-cryptography-i
https://www.class-central.com/mooc/340/coursera-algorithms-part-ii,https://www.class-central.com/mooc/415/coursera-astrobiology-and-the-search-for-extraterrestrial-life
https://www.class-central.com/mooc/340/coursera-algorithms-part-ii,https://www.class-central.com/mooc/922/coursera-analytic-combinatorics
https://www.class-central.com/mooc/340/coursera-algorithms-part-ii,https://www.class-central.com/mooc/382/coursera-introduction-to-astronomy
https://www.class-central.com/mooc/340/coursera-algorithms-part-ii,https://www.class-central.com/mooc/724/coursera-fundamentals-of-digital-image-and-video-processing
https://www.class-central.com/mooc/415/coursera-astrobiology-and-the-search-for-extraterrestrial-life,https://www.class-central.com/mooc/922/coursera-analytic-combinatorics
https://www.class-central.com/mooc/415/coursera-astrobiology-and-the-search-for-extraterrestrial-life,https://www.class-central.com/mooc/382/coursera-introduction-to-astronomy
https://www.class-central.com/mooc/415/coursera-astrobiology-and-the-search-for-extraterrestrial-life,https://www.class-central.com/mooc/724/coursera-fundamentals-of-digital-image-and-video-processing
https://www.class-central.com/mooc/922/coursera-analytic-combinatorics,https://www.class-central.com/mooc/415/coursera-astrobiology-and-the-search-for-extraterrestrial-life
https://www.class-central.com/mooc/922/coursera-analytic-combinatorics,https://www.class-central.com/mooc/382/coursera-introduction-to-astronomy
https://www.class-central.com/mooc/922/coursera-analytic-combinatorics,https://www.class-central.com/mooc/724/coursera-fundamentals-of-digital-image-and-video-processing
https://www.class-central.com/mooc/382/coursera-introduction-to-astronomy,https://www.class-central.com/mooc/724/coursera-fundamentals-of-digital-image-and-video-processing
https://www.class-central.com/mooc/835/coursera-machine-learning,https://www.class-central.com/mooc/596/coursera-mathematical-biostatistics-boot-camp-1
https://www.class-central.com/mooc/835/coursera-machine-learning,https://www.class-central.com/mooc/1029/coursera-introduction-to-recommender-systems
https://www.class-central.com/mooc/596/coursera-mathematical-biostatistics-boot-camp-1,https://www.class-central.com/mooc/1029/coursera-introduction-to-recommender-systems
https://www.class-central.com/mooc/843/coursera-pre-calculus-trigonometry,https://www.class-central.com/mooc/597/coursera-genes-and-the-human-condition-from-behavior-to-biotechnology
https://www.class-central.com/mooc/843/coursera-pre-calculus-trigonometry,https://www.class-central.com/mooc/678/coursera-epidemics-the-dynamics-of-infectious-diseases
https://www.class-central.com/mooc/843/coursera-pre-calculus-trigonometry,https://www.class-central.com/mooc/655/coursera-social-epidemiology
https://www.class-central.com/mooc/843/coursera-pre-calculus-trigonometry,https://www.class-central.com/mooc/513/coursera-archaeology-s-dirty-little-secrets
https://www.class-central.com/mooc/843/coursera-pre-calculus-trigonometry,https://www.class-central.com/mooc/419/coursera-equine-nutrition
