id,1,2,3,4,5,6,7
/u/414746,['Biology'],,,,,,
/u/414668,['Biology'],,,,,,
/u/414741,['Biology'],,,,,,
/u/414575,['Biology'],,,,,,
/u/415173,['Biology'],,,,,,
/u/419777,['Biology'],,,,,,
/u/414634,['Biology'],,,,,,
/u/420390,['Biology'],,,,,,
/u/415284,['Biology'],,,,,,
/u/414701,['Biology'],,,,,,
/u/414660,['Biology'],,,,,,
/u/447809,['Biology'],,,,,,
/u/415100,['Biology'],,,,,,
/u/259807,['Biology'],,,,,,
/u/414570,['Biology'],,,,,,
/u/414567,['Biology'],,,,,,
/u/105038,['Biology'],,,,,,
/u/414636,['Biology'],,,,,,
/u/414582,['Biology'],,,,,,
/u/65935,['Biology'],['Personal Development'],,,,,
/u/416601,['Biology'],,,,,,
/u/417289,['Biology'],,,,,,
/u/420917,['Biology'],,,,,,
/u/416673,['Biology'],,,,,,
/u/415362,['Biology'],,,,,,
/u/423297,['Biology'],,,,,,
/u/384533,['Personal Development'],,,,,,
/u/461206,['Medicine & Healthcare'],,,,,,
/u/457,"['Medicine & Healthcare', 'Chemistry', 'Medicine & Healthcare', 'Biology & Life Sciences', 'Health & Safety', 'Personal Development']",,,,,,
/u/205440,['Medicine & Healthcare'],,,,,,
/u/88954,"['Medicine & Healthcare', 'Biology', 'Health & Safety']",,,,,,
/u/356419,"['Medicine & Healthcare', 'Math and Logic', 'Software Development', 'Software Development', 'Data Analysis & Statistics', 'Medicine & Healthcare', 'Medicine & Healthcare', 'Computer Science', 'Computer Science', 'Machine Learning', 'Probability and Statistics', 'Computer Science', 'Algorithms']","['Bioinformatics', 'Electrical Engineering', 'Probability and Statistics', 'Bioinformatics', 'Data Analysis', 'Personal Development', 'Math and Logic', 'Software Development', 'Data Analysis & Statistics']",['Chemistry'],,,,
/u/122893,"['Medicine & Healthcare', 'Medicine & Healthcare', 'Medicine & Healthcare']",,,,,,
/u/87424,['Biology'],"['Medicine & Healthcare', 'Medicine & Healthcare']",['Medicine & Healthcare'],['Medicine & Healthcare'],"['Music and Art', 'Music and Art', 'Music and Art']",,
/u/66790,"['Medicine & Healthcare', 'Medicine & Healthcare']",,,,,,
/u/135508,"['Computer Science', 'Computer Science', 'Computer Science']",,,,,,
/u/36210,"['Business Essentials', 'NA']",,,,,,
/u/190600,"['Law', 'History', 'Economics', 'Psychology', 'Economics', 'Machine Learning', 'Governance and Society', 'Math and Logic', 'NA', 'NA', 'Philosophy', 'Economics', 'Economics']","['History', 'Machine Learning', 'Machine Learning', 'Philosophy', 'https://www.class-central.com/mooc/5855/edx-introduction-to-apache-spark']",,,,,
/u/286691,['Law'],,,,,,
/u/193472,['Law'],"['Law', 'Law']",,,,,
/u/79814,"['Law', 'Law', 'Law']","['Law', 'Law', 'Finance', 'Computer Security and Networks', 'Law']",['Law'],,,,
/u/163199,"['Law', 'History', 'History', 'Economics', 'Psychology', 'Economics', 'Machine Learning', 'Machine Learning', 'Governance and Society', 'Data Analysis', 'Philosophy', 'Software Development', 'Philosophy', 'Math and Logic', 'https://www.class-central.com/mooc/736/coursera-unpredictable-randomness-chance-and-free-will', 'NA', 'Philosophy', 'Economics', 'Data Analysis & Statistics', 'Data Analysis & Statistics', 'Economics']","['History', 'History']",['Economics & Finance'],,,,
/u/52128,"['https://www.class-central.com/mooc/5237/coursera-ancient-philosophy-plato-his-predecessors', 'History', 'Math and Logic']",,,,,,
/u/275771,"['Probability and Statistics', 'Data Analysis', 'Data Analysis', 'Data Analysis', 'Data Analysis', 'Data Analysis', 'Personal Development']","['Probability and Statistics', 'Data Analysis', 'Machine Learning', 'Machine Learning', 'Computer Science']","['Computer Science', 'Learning English', 'Electrical Engineering', 'Computer Science', 'Business & Management', 'Art & Culture']","['Nutrition', 'Personal Development', 'Social Sciences']",['https://www.class-central.com/mooc/1652/coursera---shi-ji-1'],,
/u/168801,['Governance and Society'],,,,,,
/u/356329,['Governance and Society'],,,,,,
/u/81343,['Economics'],,,,,,
/u/120642,"['Business & Management', 'Economics']",,,,,,
/u/143261,['Energy & Earth Sciences'],['Physics and Astronomy'],,,,,
/u/39560,"['Mechanical Engineering', 'Learning English', 'Mechanical Engineering', 'Business Essentials', 'Engineering']","['Personal Development', 'Business & Management']","['Psychology', 'Communication']",['Math'],"['Engineering', 'NA']","['https://www.class-central.com/mooc/911/coursera-moralities-of-everyday-life', 'Engineering', 'Biology & Life Sciences', 'Science']",
/u/128452,"['Governance and Society', 'Education', 'Literature', 'Humanities']",['Art & Culture'],"['Education', 'Art & Culture']",['Personal Development'],['Communication'],"['Education & Teacher Training', 'Psychology']",['Music and Art']
/u/65038,"['Education', 'Education', 'Education', 'Humanities', 'Humanities', 'Humanities', 'Humanities']",,,,,,
/u/137899,"['Education', 'Other Languages', 'Education', 'Governance and Society', 'Personal Development']",['Education'],,,,,
/u/408263,['Leadership and Management'],,,,,,
/@ken,"['Algorithms', 'Finance']",,,,,,
/u/54543,"['Software Development', 'Algorithms', 'Algorithms', 'Computer Security and Networks', 'Software Development', 'Machine Learning', 'NA']",,,,,,
/u/193548,['Data Analysis'],,,,,,
/u/90128,"['Clinical Science', 'Health & Safety']",['Medicine & Healthcare'],['Medicine & Healthcare'],,,,
/u/360771,"['Mechanical Engineering', 'Mechanical Engineering', 'Psychology', 'Entrepreneurship', 'Governance and Society']",,,,,,
/u/243533,"['Mechanical Engineering', 'Software Development']","['Software Development', 'Data Analysis', 'Algorithms', 'Software Development', 'Mobile and Web Development', 'Mobile and Web Development', 'Machine Learning', 'Software Development', 'Software Development', 'Machine Learning', 'Software Development', 'Software Development', 'Machine Learning']",['Medicine & Healthcare'],"['Personal Development', 'Personal Development']",,,
/u/434822,['Learning English'],,,,,,
/u/259691,"['Learning English', 'Education', 'Education']",,,,,,
/u/241758,['Law'],,,,,,
/u/281306,"['Machine Learning', 'Machine Learning']",,,,,,
/u/247255,"['Machine Learning', 'Economics', 'Economics', 'Machine Learning', 'Data Analysis', 'Economics', 'Data Analysis']",,,,,,
/u/165202,['Biology'],,,,,,
/u/116166,['Software Development'],['Biology'],,,,,
/u/231599,"['Biology', 'Marketing']",['Business Essentials'],,,,,
/u/62802,['Machine Learning'],,,,,,
/u/363708,['Personal Development'],['Software Development'],,,,,
/u/437630,['Software Development'],,,,,,
/u/194317,"['Business Strategy', 'Entrepreneurship']","['Software Development', 'Business Essentials', 'Business Strategy']",,,,,
/u/294741,['Software Development'],"['Software Development', 'Software Development', 'Software Development', 'Machine Learning', 'Personal Development']",['Software Development'],,,,
/u/139446,['Personal Development'],['Software Development'],['Software Development'],,,,
/u/287049,"['Software Development', 'Physics and Astronomy', 'Software Development', 'Software Development', 'Software Development', 'Physics and Astronomy', 'Physics and Astronomy', 'Software Development']",,,,,,
/u/183701,['Algorithms'],,,,,,
/u/207673,"['Software Development', 'Software Development', 'Mobile and Web Development', 'Mobile and Web Development', 'Algorithms', 'Software Development', 'Computer Science', 'Computer Science', 'Algorithms']",,,,,,
/u/426661,"['Software Development', 'Economics']",,,,,,
/u/187439,['Design and Product'],['Business & Management'],['Software Development'],,,,
/u/35262,['Biology'],,,,,,
/u/78296,['Philosophy'],,,,,,
/u/270128,"['Biology', 'Medicine & Healthcare', 'Medicine & Healthcare', 'Computer Science']",,,,,,
/u/73990,['Software Development'],['Software Development'],,,,,
/u/217506,['Software Development'],,,,,,
/u/228839,['Software Development'],,,,,,
/u/255141,"['Software Development', 'Software Development']",,,,,,
/u/39815,['Nutrition'],,,,,,
/u/206336,['Nutrition'],,,,,,
/u/248250,['Nutrition'],,,,,,
/u/179063,['Education'],,,,,,
/u/228482,['Education'],,,,,,
/u/156861,['Health & Safety'],,,,,,
/u/216099,['Medicine & Healthcare'],,,,,,
/u/236967,['Biology'],,,,,,
/u/452850,"['Other Languages', 'Personal Development', 'Marketing', 'Other Languages', 'Other Languages']",['Data Analysis'],,,,,
/u/132276,"['Other Languages', 'Economics']",,,,,,
/u/162715,['Social Sciences'],"['Other Languages', 'Psychology']",,,,,
/u/31593,['Other Languages'],,,,,,
/u/229123,['Psychology'],"['Other Languages', 'Personal Development', 'Computer Security and Networks', 'Music and Art', 'Mobile and Web Development', 'Computer Security and Networks', 'Music and Art', 'Data Analysis', 'Mobile and Web Development', 'Data Analysis', 'Data Analysis', 'Machine Learning', 'Economics', 'Economics', 'Electrical Engineering', 'Computer Security and Networks', 'Literature', 'Electrical Engineering', 'Physics and Astronomy', 'Finance', 'Economics']",['Music and Art'],['Psychology'],,,
/u/120645,"['Data Analysis & Statistics', 'Data Analysis & Statistics', 'Data Analysis & Statistics', 'Algorithms', 'Data Analysis']",['Data Analysis'],['Probability and Statistics'],,,,
