id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
/accounts/profile/ms1,['Biology & Life Sciences'],,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/alanmccrindle,"['Biology & Life Sciences', 'Software Development']",,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/steffenschwientek,['Biology & Life Sciences'],['Computer Science'],,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/tamsenaichinger,"['Social Sciences', 'Social Sciences']",,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/augustofontanmoura,['Engineering'],,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/keithmitchell,['Engineering'],,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/brunoporto,['Engineering'],,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/richschnoor,['Engineering'],,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/dakshshukla1,['Engineering'],,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/bobbraunstein,['Philosophy'],,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/DanielN.Gullotta,['History'],,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/andrewkahr,['History'],,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/boyarsky,['Computer Science'],,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/sergey4,['Math'],,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/yahia.eltaib,['Math'],,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/deciolauro,['Math'],,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/davidhan,['Math'],,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/sr,['Math'],,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/dongrayson,['Math'],,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/AnnaZakharova,"['History', 'Music and Art']",,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/BlueYearning,['History'],,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/fabienhenriques,"['History', 'Finance']",,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/minhnguyen1,['History'],,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/antondimuro,['Law'],,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/lailai,['Law'],,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/kwabenaata,['Law'],,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/perezpinas,['Law'],,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/chrisalford,['Probability and Statistics'],,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/michaelfarsan,['Computer Science'],,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/stevencollins,"['Art & Culture', 'Art & Culture']",,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/waimansin,"['Art & Culture', 'Art & Culture']",,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/nicomarzian1,"['Art & Culture', 'Art & Culture']",,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/GeoffreyMorton-Haworth,"['Art & Culture', 'Art & Culture']",,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/brianchung,"['Art & Culture', 'Art & Culture']",,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/sashanorkin1,"['Art & Culture', 'Art & Culture']",,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/melaniemacfarlane1,"['Art & Culture', 'Art & Culture']",,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/menonvijayakumar,['Business Essentials'],['Law'],,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/dilyanakrasimirova,['Social Sciences'],,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/brother,['Social Sciences'],,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/joesmith,['Social Sciences'],,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/aravindaj,['Social Sciences'],,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/dennishorne,['Social Sciences'],['Communication'],['Biology'],,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/fafamonge,['Business & Management'],,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/warda,['Education & Teacher Training'],,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/gozdeorhankubat,['Education & Teacher Training'],,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/roshanvenugopal1,['Health & Safety'],,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/ramiroaznar1,['Biology'],['Data Analysis'],['Software Development'],['Software Development'],['Engineering'],,,,,,,,,,,,,,,,,,,,
/accounts/profile/dumitru,['Computer Science'],,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/nilname,['Computer Science'],,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/erickvalladares1,['Computer Science'],,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/hamishmcwilliam1,['Computer Science'],['Computer Science'],,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/ervinlang,['Computer Science'],,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/krishnavaidyanathan,['Computer Science'],,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/ashwithrego,['Computer Science'],,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/kevinzhu,"['Computer Science', 'Computer Science']",,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/mikekinny,"['Computer Science', 'Design and Product']",,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/tjorndecroos,['Computer Science'],,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/franciscogoitia,['Computer Science'],"['Computer Science', 'Computer Science']",,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/hakkera,['Computer Science'],,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/richardkirkpatrick,['Algorithms'],,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/ilyarudyak,['Computer Science'],,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/keikomushi,"['History', 'Nutrition']","['Medicine & Healthcare', 'Sociology', 'Physics and Astronomy', 'History']","['Computer Science', 'Animals and Veterinary Science']",['Clinical Science'],"['History', 'Learning English']",,,,,,,,,,,,,,,,,,,,
/accounts/profile/thierryghislainbedzeme,['Economics & Finance'],,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/jmgarcia,['Food & Nutrition'],,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/dean,['Environmental Studies'],,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/filipe,['Environmental Studies'],,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/vladimir,['Environmental Studies'],,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/sr1,['Environmental Studies'],,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/sarahgross,['Environmental Studies'],,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/boryszibrov,['Data Analysis & Statistics'],,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/nicolacois,['Communication'],,,,,,,,,,,,,,,,,,,,,,,,
/accounts/profile/leonardmangini1,['Governance and Society'],"['Economics & Finance', 'Biology', 'Biology', 'Finance', 'Physics and Astronomy']",['Economics'],['Software Development'],,,,,,,,,,,,,,,,,,,,,
