id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
/u/87424,"['Science', 'Medicine']",['Data Analysis'],['Psychology'],['Medicine & Healthcare'],"['Music and Art', 'Music and Art']",['History'],['Medicine & Healthcare'],"['Clinical Science', 'Medicine & Healthcare']",['Medicine & Healthcare'],,,,,,,,,,,
/u/66790,['Psychology'],,,,,,,,,,,,,,,,,,,
/u/65970,"['Data Analysis & Statistics', 'Data Analysis & Statistics']",,,,,,,,,,,,,,,,,,,
/u/112746,['Mobile and Web Development'],,,,,,,,,,,,,,,,,,,
/u/135508,['Mobile and Web Development'],['Personal Development'],,,,,,,,,,,,,,,,,,
/u/58972,['Mobile and Web Development'],,,,,,,,,,,,,,,,,,,
/u/73217,['Software Development'],,,,,,,,,,,,,,,,,,,
/u/74416,"['Software Development', 'Physics and Astronomy', 'Software Development', 'Software Development', 'Physics and Astronomy', 'Software Development', 'Math and Logic', 'Medicine & Healthcare', 'Software Development']",['Personal Development'],,,,,,,,,,,,,,,,,,
/u/87441,"['Computer Science', 'Data Analysis & Statistics']","['Software Development', 'Mobile and Web Development']","['Mobile and Web Development', 'Software Development', 'Algorithms']",,,,,,,,,,,,,,,,,
/u/175444,"['Software Development', 'Leadership and Management', 'Data Analysis', 'Data Analysis', 'Physics and Astronomy']",,,,,,,,,,,,,,,,,,,
/u/74690,"['History', 'History', 'History', 'History', 'History', 'History', 'Philosophy', 'Philosophy & Ethics', 'Biology', 'History', 'Social Sciences', 'History', 'History', 'Humanities', 'Humanities']","['Law', 'Philosophy', 'Biology', 'Philosophy', 'Biology', 'History', 'Music and Art', 'Psychology', 'Music and Art', 'Music and Art', 'Biology', 'Music and Art', 'Environmental Science and Sustainability', 'Music and Art', 'Physics and Astronomy', 'Psychology', 'Biology', 'History', 'Anthropology', 'Environmental Science and Sustainability', 'Philosophy']",,,,,,,,,,,,,,,,,,
/u/83528,"['Art & Culture', 'Humanities']","['Law', 'History']",,,,,,,,,,,,,,,,,,
/u/79814,"['Social Sciences', 'Art & Culture', 'Social Sciences']",['Law'],['Biology'],"['Governance and Society', 'Governance and Society', 'Governance and Society', 'Human Rights']","['Law', 'Governance and Society', 'Law', 'Law', 'Law']",,,,,,,,,,,,,,,
/u/52128,['Philosophy'],,,,,,,,,,,,,,,,,,,
/u/8345,"['Philosophy', 'Philosophy & Ethics']",['Governance and Society'],,,,,,,,,,,,,,,,,,
/u/81343,['Philosophy & Ethics'],"['Governance and Society', 'Governance and Society']","['Data Analysis', 'Economics']",,,,,,,,,,,,,,,,,
/u/89331,"['Law', 'Personal Development']","['Personal Development', 'Psychology', 'Governance and Society', 'Governance and Society', 'Personal Development', 'Psychology']","['History', 'Psychology']",['Governance and Society'],,,,,,,,,,,,,,,,
/u/120642,['Law'],['Finance'],,,,,,,,,,,,,,,,,,
/u/43991,['Design and Product'],['Communication'],"['Governance and Society', 'Governance and Society']",['Design and Product'],['Design and Product'],,,,,,,,,,,,,,,
/u/143261,"['Law', 'Personal Development']",['Personal Development'],['Economics'],,,,,,,,,,,,,,,,,
/u/116313,['Medicine & Healthcare'],"['Medicine & Healthcare', 'Clinical Science']",,,,,,,,,,,,,,,,,,
/u/75423,['Medicine & Healthcare'],,,,,,,,,,,,,,,,,,,
/u/143333,['Medicine & Healthcare'],,,,,,,,,,,,,,,,,,,
/u/159344,"['Medicine & Healthcare', 'Personal Development']",,,,,,,,,,,,,,,,,,,
/u/86798,"['Medicine & Healthcare', 'Medicine & Healthcare', 'Research Methods', 'Clinical Science', 'Bioinformatics', 'Math and Logic', 'Business Essentials', 'Medicine & Healthcare', 'Personal Development', 'Biology', 'Medicine & Healthcare']",['Other Languages'],"['Data Analysis', 'Probability and Statistics', 'Software Development', 'Software Development', 'Economics']",['Medicine & Healthcare'],,,,,,,,,,,,,,,,
/u/39560,"['Computer Science', 'Engineering', 'Biology & Life Sciences']",['Research Methods'],"['Learning English', 'Business Essentials']",['Mechanical Engineering'],,,,,,,,,,,,,,,,
/u/128452,"['Research Methods', 'Research Methods']","['Learning English', 'Music and Art']",,,,,,,,,,,,,,,,,,
/u/138912,['Education'],['Governance and Society'],,,,,,,,,,,,,,,,,,
/u/65038,"['History', 'Humanities', 'Humanities', 'Humanities', 'Humanities', 'Humanities']",,,,,,,,,,,,,,,,,,,
/u/74499,"['Bioinformatics', 'Data Analysis']",,,,,,,,,,,,,,,,,,,
/@ken,['Software Development'],"['Bioinformatics', 'Bioinformatics', 'Economics', 'Bioinformatics']",,,,,,,,,,,,,,,,,,
/u/133741,"['Data Analysis', 'Data Analysis']",,,,,,,,,,,,,,,,,,,
/u/54543,['Software Development'],['Data Analysis'],"['Computer Security and Networks', 'Software Development', 'Algorithms']",,,,,,,,,,,,,,,,,
/u/107526,['Data Analysis'],,,,,,,,,,,,,,,,,,,
/u/182162,['Data Analysis'],,,,,,,,,,,,,,,,,,,
/u/90128,"['Medicine & Healthcare', 'Medicine & Healthcare']","['Medicine & Healthcare', 'Medicine & Healthcare', 'Medicine & Healthcare']",,,,,,,,,,,,,,,,,,
/u/186273,['Mechanical Engineering'],,,,,,,,,,,,,,,,,,,
/u/31570,['Humanities'],,,,,,,,,,,,,,,,,,,
/u/58484,['Biology'],,,,,,,,,,,,,,,,,,,
/u/116490,"['Biology', 'Math and Logic', 'Leadership and Management']",,,,,,,,,,,,,,,,,,,
/u/116166,['Biology & Life Sciences'],"['Biology', 'Biology']",,,,,,,,,,,,,,,,,,
/u/37410,['Biology'],,,,,,,,,,,,,,,,,,,
/u/180987,['Computer Science'],"['Machine Learning', 'Computer Science', 'Computer Science', 'Data Analysis', 'Physics and Astronomy', 'Algorithms', 'Machine Learning']","['Electrical Engineering', 'Software Development']","['Algorithms', 'Design and Product']",,,,,,,,,,,,,,,,
