"","degree","closeness","betweenness","eigenvector","transitivity","constraint","url","time"
"1048",18,9.17380694640662e-06,97.9081405993857,0.0167149017299033,0.804011889756943,0.154573094275907,"https://www.class-central.com/mooc/651/coursera-computational-molecular-evolution",6
"1049",42,9.20242575943019e-06,1502.16217002652,0.0673827072732201,0.716698915786867,0.072974448014615,"https://www.class-central.com/mooc/405/coursera-ut-1-01x-energy-101",6
"1050",0,1.63735259733243e-06,0,0.00164522006042368,0,0,"https://www.class-central.com/mooc/410/coursera-fundamentals-of-electrical-engineering",6
"1051",7,9.13976529082733e-06,0.181818181818182,0.0582511105935356,1.00009032112949,0.242269948935602,"https://www.class-central.com/mooc/1351/coursera-introduction-to-chemistry",6
"1052",39,9.18509809684767e-06,280.051956613873,0.270166930062945,0.828700307634215,0.0826905279129775,"https://www.class-central.com/mooc/681/coursera-human-evolution-past-and-future",6
"1053",0,1.63735259733243e-06,0,0.00164522006042368,0,0,"https://www.class-central.com/mooc/1189/coursera-fundamentals-of-electrical-engineering-laboratory",6
"1054",22,9.17414359369553e-06,0.35750981081741,0.0106657377137996,1.00009032112949,0.147163790405218,"https://www.class-central.com/mooc/1522/coursera-marine-megafauna-an-introduction-to-marine-science-and-conservation",6
"1055",11,9.1869545245751e-06,6.40164331091116,0.0156821930894803,1.00009032112949,0.260544983658572,"https://www.class-central.com/mooc/1370/coursera-latin-american-migration",6
"1056",12,9.16413889168904e-06,47.9116854795022,0.0471001139557894,0.530393351432522,0.188579947422205,"https://www.class-central.com/mooc/513/coursera-archaeology-s-dirty-little-secrets",6
"1057",14,9.17170346048372e-06,284.873855865981,0.00579309622652892,0.582507903547074,0.188697075534234,"https://www.class-central.com/mooc/614/edx-introduction-to-statistics-descriptive-statistics",6
"1058",0,1.63735259733243e-06,0,0.00164522006042368,0,0,"https://www.class-central.com/mooc/1493/edx-001x-medicinal-chemistry-the-molecular-basis-of-drug-discovery",6
"1059",15,9.17304958033298e-06,167.993646243068,0.00721735926510446,0.571518892558063,0.15828845747184,"https://www.class-central.com/mooc/424/coursera-a-beginner-s-guide-to-irrational-behavior",6
"1060",5,9.17936478795667e-06,52.2638215841434,0.00915243013563791,1.00009032112949,0.376629432927248,"https://www.class-central.com/mooc/328/coursera-compilers",6
"1061",12,9.18020747268888e-06,26.679088911062,0.0184289330404291,1.00009032112949,0.174453336398795,"https://www.class-central.com/mooc/526/coursera-linear-and-discrete-optimization",6
"1062",0,1.63735259733243e-06,0,0.00164522006042368,0,0,"https://www.class-central.com/mooc/1536/coursera-poisonings-in-the-home-and-community-assessment-and-emergency-response",6
"1063",16,9.17641660931406e-06,12.3788093536038,0.0131647579159587,1.00009032112949,0.174189169656389,"https://www.class-central.com/mooc/1615/edx-ph525x-data-analysis-for-genomics",6
"1064",14,9.17170346048372e-06,284.873855865981,0.00579309585720681,0.582507903547074,0.188697075534234,"https://www.class-central.com/mooc/828/edx-introduction-to-statistics-probability",6
"1065",9,9.1568383268625e-06,0.0714285714285714,0.00180700425006537,1.00009032112949,0.266875209252587,"https://www.class-central.com/mooc/1974/coursera-introduction-to-computational-arts-audio",6
"1066",9,9.19421867529697e-06,37.7910747219197,0.0195869217897025,1.00009032112949,0.184035073011247,"https://www.class-central.com/mooc/1386/coursera-core-concepts-in-data-analysis",6
"1067",6,9.18138749127768e-06,4.79051561143951,0.0151248332730167,1.00009032112949,0.229247347788759,"https://www.class-central.com/mooc/1989/edx-mas-s69x-big-data-and-social-physics",6
"1068",0,1.63735259733243e-06,0,0.00164522006042368,0,0,"https://www.class-central.com/mooc/822/coursera-the-science-of-safety-in-healthcare",6
"1069",6,9.15784460969266e-06,1.39975558288074,0.00408313559898269,1.00009032112949,0.316274888383572,"https://www.class-central.com/mooc/932/edx-introduction-to-statistics-inference",6
"1070",0,1.63735259733243e-06,0,0.00164522006042368,0,0,"https://www.class-central.com/mooc/2012/coursera-bioinformatics-life-sciences-on-your-computer",6
"1071",11,9.1776798825257e-06,13.3391245181038,0.0164969528147988,1.00009032112949,0.182170857438194,"https://www.class-central.com/mooc/453/coursera-the-hardware-software-interface",6
