course_id,title,provider,subject,school,time_school_ranking,total_review_rating,total_review_count,published_time,time,session_open,time_review_count,time_review_rating,time_avg_helpful_review_score,time_avg_moderate_review,time_avg_review_length,total_review_rating,time_avg_high_review,time_avg_low_review,effort_hours (per_week),level,price,enrollment_type,course_length,url,in-degree,out-degree,closeness,betweenness,eigenvector,transitivity
CourseTalk-9,Paradox and Infinity,edX,Philosophy & Ethics,Massachusetts Institute of Technology,1,5,9,2,1,FALSE,0,0,0,0,0,5,0,0,4.5,Introductory,300,FREE audit/Pay for certificate,10,45342,NA,NA,NA,NA,NA,NA
CourseTalk-9,Paradox and Infinity,edX,Philosophy & Ethics,Massachusetts Institute of Technology,1,5,9,2,2,TRUE,0,0,0,0,0,5,0,0,4.5,Introductory,300,FREE audit/Pay for certificate,10,45342,NA,NA,NA,NA,NA,NA
CourseTalk-9,Paradox and Infinity,edX,Philosophy & Ethics,Massachusetts Institute of Technology,1,5,9,2,3,TRUE,9,0.54320987654321,0.0,0.0,63.28395061728395,5,1.0,0.0,4.5,Introductory,300,FREE audit/Pay for certificate,10,45342,0,0,4.92732200049273e-06,0,0,0
CourseTalk-9,Paradox and Infinity,edX,Philosophy & Ethics,Massachusetts Institute of Technology,1,5,9,2,4,FALSE,0,0,0,0,0,5,0,0,4.5,Introductory,300,FREE audit/Pay for certificate,10,45342,NA,NA,NA,NA,NA,NA
CourseTalk-10,Introduction to Psychology,edX,Biology & Life Sciences,St. Margaret¡¯s Episcopal School,NA,5,5,2,1,FALSE,0,0,0,0,0,5,0,0,4.5,Introductory,50,FREE audit/Pay for certificate,10,27188,NA,NA,NA,NA,NA,NA
CourseTalk-10,Introduction to Psychology,edX,Biology & Life Sciences,St. Margaret¡¯s Episcopal School,NA,5,5,2,2,TRUE,0,0,0,0,0,5,0,0,4.5,Introductory,50,FREE audit/Pay for certificate,10,27188,NA,NA,NA,NA,NA,NA
CourseTalk-10,Introduction to Psychology,edX,Biology & Life Sciences,St. Margaret¡¯s Episcopal School,NA,5,5,2,3,TRUE,5,1.0,0.0,0.0,40.56,5,1.0,0.0,4.5,Introductory,50,FREE audit/Pay for certificate,10,27188,1,1,1.49158003072655e-05,4553,1.08252162310384e-17,4.92732200049273e-05
CourseTalk-10,Introduction to Psychology,edX,Biology & Life Sciences,St. Margaret¡¯s Episcopal School,NA,5,5,2,4,FALSE,0,0,0,0,0,5,0,0,4.5,Introductory,50,FREE audit/Pay for certificate,10,27188,NA,NA,NA,NA,NA,NA
CourseTalk-11,Social Work Practice: Advocating Social Justice and Change,edX,Social Sciences,University of Michigan,22,5,3,4,1,FALSE,0,0,0,0,0,5,0,0,2.5,Introductory,49,FREE audit/Pay for certificate,5,66271,NA,NA,NA,NA,NA,NA
CourseTalk-11,Social Work Practice: Advocating Social Justice and Change,edX,Social Sciences,University of Michigan,23,5,3,4,2,FALSE,0,0,0,0,0,5,0,0,2.5,Introductory,49,FREE audit/Pay for certificate,5,66271,NA,NA,NA,NA,NA,NA
