from,to
180,401
61,12695
12636,101
12636,61
12636,12653
101,61
101,12653
61,101
61,12653
426,45
45,426
426,192
426,390
192,426
192,390
390,426
390,192
426,192
192,426
104,30
3238,196
3238,350
196,350
350,196
196,221
196,61
221,196
221,61
196,40
196,72
196,70384
196,21
40,196
40,72
40,70384
40,21
72,196
72,40
72,70384
72,21
70384,196
70384,40
70384,72
70384,21
21,196
21,40
21,72
21,70384
196,72
196,244
72,196
72,244
244,196
244,72
104,48
104,51467
48,51467
51467,48
75462,104
13,113
113,13
418,136
136,418
418,75462
75462,418
418,357
357,418
418,188
188,418
418,31
63,75193
75193,63
415,63
63,340
340,63
379,3356
3356,3581
359,362
359,202
362,359
362,202
202,359
202,362
419,1183
75462,69291
69291,75462
62,29
62,14158
62,12685
29,62
29,14158
29,12685
14158,12685
6266,45
379,51467
51467,379
379,70384
379,75
379,458
70384,75
70384,458
75,70384
75,458
458,70384
458,75
379,102
102,379
379,77
379,202
202,379
379,201
201,379
379,24
24,379
379,3360
40,3195
3195,40
38,191
38,3370
38,239
38,328
191,38
191,3370
191,239
191,328
3370,38
3370,191
3370,239
3370,328
239,38
239,191
239,3370
239,328
328,38
328,191
328,3370
328,239
3360,341
3360,181
3360,21
341,3360
341,181
341,21
181,3360
181,341
181,21
21,3360
21,341
21,181
192,16089
16089,192
72,74
74,72
60,197
60,75
197,60
197,75
75,60
75,197
69291,160
160,69291
51467,51446
51467,240
51446,51467
51446,240
240,51467
240,51446
1192,468
1192,12749
468,12749
6471,190
190,6471
13,69291
13,22
69291,13
69291,22
22,13
22,69291
3336,136
136,3336
42,3336
3354,105
105,3354
69291,51467
69291,51446
51467,51446
51446,51467
69291,3555
3555,69291
150,61
150,385
150,3366
61,150
61,385
61,3366
385,150
385,61
385,3366
217,122
350,239
350,160
239,350
239,160
160,350
160,239
401,122
401,411
122,401
122,411
411,401
411,122
122,178
178,122
362,239
239,362
1177,344
344,1177
1177,365
365,1177
1177,414
414,1177
239,1183
246,16
12699,105
214,106
106,214
136,98
98,136
3555,398
3460,51446
3355,365
91,250
