"","degree","closeness","betweenness","eigenvector","transitivity","constraint","isolate","foldness","url","time"
"488",4,4.87448208627833e-05,197,0.000572046111383348,0.5,0.468880402385819,0,1,"16064",2
"489",13,4.91231517414157e-05,14.9269665655943,0.130356415161027,1,0.192825593892879,0,4,"340",2
"490",40,4.92732200049273e-05,4.81753537323227,0.604557670147498,1,0.0887973258263771,0,3,"14151",2
"491",53,4.94022329809307e-05,1717.75212502665,0.611143923966476,0.613933236574746,0.0625666001341259,0,5,"159",2
"492",51,4.92877914140667e-05,531.700295420761,0.694578188900197,0.650196078431373,0.0722039432732864,0,5,"51467",2
"493",52,4.92756479747709e-05,660.475626059901,0.744139515118124,0.631975867269985,0.0727293150319636,0,5,"51446",2
"494",4,4.88448200068383e-05,2.81379764663123,0.0208049823746998,1,0.531715389896448,0,1,"14411",2
"495",18,4.90942117924297e-05,0.642746726029203,0.0598379144711566,1,0.174194642144181,0,2,"27787",2
"496",15,4.90773458971339e-05,13.1151261531477,0.183630117005053,1,0.170338027060753,0,4,"68121",2
"497",18,4.90942117924297e-05,0.642746726029203,0.0598379141446098,1,0.174194642144181,0,2,"35389",2
"498",18,4.90942117924297e-05,0.642746726029203,0.0598379098532914,1,0.174194642144181,0,2,"20448",2
"499",9,4.90244141582508e-05,2.19715134955045,0.0592437759184016,1,0.238503290779218,0,1,"3355",2
"500",0,1.35663121337096e-05,0,0.00091069050017919,0,0,1,0,"12705",2
"501",0,1.35663121337096e-05,0,0.00091069050017919,0,0,1,0,"240",2
"502",2,4.84191158669443e-05,0,0.000413197891427752,1,0.922508332073319,0,1,"96",2
"503",1,4.88042947779405e-05,0,0.0133955275934423,0,1.00000833207332,0,0,"14150",2
"504",43,4.92659375307912e-05,150.789637177663,0.625381347617713,0.875968992248062,0.0828810721187827,0,5,"6823",2
"505",0,1.35663121337096e-05,0,0.00091069050017919,0,0,1,0,"410",2
"506",5,4.87376937323326e-05,0,0.00156229580010535,1,0.528233857674506,0,1,"19561",2
"507",40,4.92756479747709e-05,4.84253537323227,0.591142847333591,1,0.0881783739172461,0,3,"20325",2
"508",0,1.35663121337096e-05,0,0.00091069050017919,0,0,1,0,"39853",2
"509",1,1.36163723260849e-05,0,0,0,1.00000833207332,0,0,"34333",2
"510",40,4.92756479747709e-05,4.84253537323227,0.591142846209843,1,0.0881783739172461,0,3,"14154",2
"511",1,4.84519598817772e-05,0,0.000524059202075711,0,1.00000833207332,0,1,"1196",2
"512",1,1.36163723260849e-05,0,0,0,1.00000833207332,0,0,"27928",2
"513",3,4.84730974309258e-05,0,0.000260792450690861,1,0.773403393801714,0,1,"28644",2
"514",0,4.92732200049273e-06,0,2.76143172670783e-07,0,0,1,0,"47046",3
"515",1,1.561426519268e-05,0,1.49025374255109e-05,0,1.00000487305174,0,0,"14098",3
"516",47,1.57631740727313e-05,0.878919072699857,0.235313650787574,1,0.0760145300367485,0,4,"36498",3
