course,date
3356,2015-12-18
50911,2016-01-12
163,2016-01-11
44776,2016-05-23
51474,2016-05-23
42452,2016-05-23
51419,2016-05-23
51423,2016-05-23
51481,2016-05-23
42453,2016-05-23
51467,2016-05-23
51446,2016-05-23
12661,2015-07-28
434,2015-07-28
379,2016-01-01
50791,2016-05-09
17410,2016-01-31
391,2015-08-21
12656,2015-12-06
12645,2015-07-08
12645,2015-07-25
50635,2016-05-18
50878,2016-05-18
50020,2016-05-18
50635,2016-01-03
50635,2015-12-23
51413,2016-04-02
51415,2016-04-02
51477,2016-04-02
51444,2016-04-02
51403,2016-04-02
51426,2016-04-02
51467,2016-04-02
50864,2016-01-14
50878,2015-12-26
50556,2016-01-04
62,2016-02-22
62,2016-03-27
62,2016-03-22
122,2015-10-01
17356,2016-02-21
76,2015-10-16
42456,2015-08-09
42457,2015-08-09
50824,2016-03-13
50672,2015-07-21
50800,2016-01-01
68140,2016-05-18
67477,2016-04-22
12681,2015-07-20
51467,2015-07-20
28665,2015-10-23
20,2015-09-29
61,2015-12-23
239,2016-06-29
50777,2016-06-25
25295,2015-10-16
136,2015-07-23
50397,2016-03-04
3460,2015-09-25
51723,2016-05-16
50792,2016-03-28
384,2016-01-12
19271,2015-09-13
28664,2015-10-19
50571,2015-12-15
50020,2016-04-28
50579,2016-04-28
50404,2016-04-28
50796,2015-12-28
51467,2016-03-18
51467,2015-12-27
51467,2015-11-24
51446,2016-04-12
51446,2015-12-05
51446,2015-09-25
50404,2015-12-04
32026,2015-10-16
50882,2015-12-30
28802,2016-01-25
