cliq,freq
"['History', 'Leadership and Management', 'Medicine & Healthcare']",79
"['Biology & Life Sciences', 'History', 'Social Sciences']",78
"['Biology & Life Sciences', 'Math', 'Social Sciences']",78
"['Biology & Life Sciences', 'History', 'Math']",78
"['Computer Science', 'Economics', 'Software Development']",78
"['Computer Science', 'Leadership and Management', 'Music and Art']",78
"['History', 'Math and Logic', 'Medicine & Healthcare']",78
"['Computer Science', 'Medicine & Healthcare', 'Music and Art']",77
"['Data Analysis', 'Education', 'Music and Art']",77
"['History', 'Medicine & Healthcare', 'Medicine & Healthcare']",77
"['Art & Culture', 'Computer Science', 'Computer Science']",76
"['Computer Science', 'Data Analysis & Statistics', 'Leadership and Management']",76
"['Business & Management', 'Engineering', 'History']",76
"['Computer Science', 'History', 'Mechanical Engineering']",76
"['Finance', 'Medicine & Healthcare', 'Music and Art']",76
"['History', 'Machine Learning', 'Software Development']",75
"['Biology', 'Data Analysis & Statistics', 'History']",75
"['Design and Product', 'History', 'Medicine & Healthcare']",75
"['Education', 'Finance', 'Music and Art']",75
"['Biology & Life Sciences', 'Computer Science', 'Law']",74
"['Computer Science', 'Data Analysis', 'Leadership and Management']",74
"['Business & Management', 'Data Analysis & Statistics', 'History']",74
"['History', 'Leadership and Management', 'Music and Art']",74
"['History', 'Mobile and Web Development', 'Probability and Statistics']",74
"['Data Analysis', 'Finance', 'Music and Art']",74
"['Business Essentials', 'Data Analysis', 'Software Development']",74
"['History', 'History', 'Leadership and Management']",73
"['Economics', 'History', 'Medicine & Healthcare']",73
"['Finance', 'History', 'Software Development']",73
"['Biology & Life Sciences', 'Business & Management', 'Social Sciences']",72
"['Biology & Life Sciences', 'Computer Science', 'Electronics']",72
"['Biology & Life Sciences', 'Business & Management', 'Engineering']",72
"['Business & Management', 'Computer Science', 'Economics']",72
"['Chemistry', 'Computer Science', 'History']",72
"['Computer Science', 'Data Analysis', 'Education']",72
"['History', 'Math and Logic', 'Music and Art']",72
"['Environmental Science and Sustainability', 'History', 'Music and Art']",72
"['Computer Science', 'Finance', 'Music and Art']",72
"['Business & Management', 'Finance', 'History']",72
"['Data Analysis', 'Education', 'Finance']",72
"['Computer Science', 'Education', 'Medicine & Healthcare']",72
"['Business & Management', 'Entrepreneurship', 'History']",72
"['Computer Science', 'Data Analysis', 'Engineering']",71
"['History', 'History', 'Probability and Statistics']",71
"['Data Analysis', 'Mechanical Engineering', 'Mobile and Web Development']",71
"['Finance', 'Mobile and Web Development', 'Software Development']",71
"['Education', 'Finance', 'Medicine & Healthcare']",71
"['Computer Science', 'Computer Science', 'Math']",70
"['Business & Management', 'Computer Science', 'Leadership and Management']",70
"['Computer Science', 'Engineering', 'Music and Art']",70
"['Data Analysis & Statistics', 'Engineering', 'History']",70
"['Computer Science', 'History', 'Psychology']",70
"['Computer Science', 'Economics', 'Music and Art']",70
"['Leadership and Management', 'Mobile and Web Development', 'Software Development']",70
"['Computer Science', 'Design and Product', 'History']",70
"['Design and Product', 'History', 'History']",70
"['Data Analysis', 'Mobile and Web Development', 'Probability and Statistics']",70
"['Business Essentials', 'Computer Science', 'Mobile and Web Development']",70
"['Education', 'Entrepreneurship', 'Music and Art']",70
"['Computer Science', 'Math', 'Social Sciences']",69
"['Biology & Life Sciences', 'Computer Science', 'Science']",69
"['Biology & Life Sciences', 'Computer Science', 'Mechanical Engineering']",69
"['Computer Science', 'Mobile and Web Development', 'Probability and Statistics']",69
"['Data Analysis', 'Music and Art', 'Software Development']",69
"['History', 'Leadership and Management', 'Mobile and Web Development']",69
"['History', 'History', 'Philosophy']",69
"['History', 'Medicine & Healthcare', 'Philosophy']",69
"['Mobile and Web Development', 'Mobile and Web Development', 'Psychology']",69
"['History', 'History', 'Mechanical Engineering']",69
"['Computer Science', 'Education', 'Finance']",69
"['Biology & Life Sciences', 'Data Analysis', 'History']",68
"['Biology & Life Sciences', 'History', 'Leadership and Management']",68
"['Computer Science', 'History', 'Machine Learning']",68
"['Computer Science', 'History', 'Philosophy']",68
"['Machine Learning', 'Mobile and Web Development', 'Psychology']",68
"['History', 'Humanities', 'Medicine & Healthcare']",68
"['Computer Science', 'Data Analysis', 'Finance']",68
"['Data Analysis', 'Medicine & Healthcare', 'Mobile and Web Development']",68
"['Computer Science', 'Computer Science', 'Mechanical Engineering']",67
"['Computer Science', 'Economics', 'Leadership and Management']",67
"['Biology & Life Sciences', 'Chemistry', 'History']",67
"['History', 'Psychology', 'Software Development']",67
"['History', 'History', 'Law']",67
"['History', 'History', 'Humanities']",67
"['Machine Learning', 'Mobile and Web Development', 'Mobile and Web Development']",67
"['Health & Safety', 'History', 'Music and Art']",67
"['Computer Science', 'Data Analysis', 'Medicine & Healthcare']",67
"['Finance', 'History', 'Leadership and Management']",67
"['Data Analysis', 'Education', 'Software Development']",67
"['Medicine & Healthcare', 'Mobile and Web Development', 'Music and Art']",67
"['Business Essentials', 'History', 'Mobile and Web Development']",67
"['History', 'History', 'Math and Logic']",67
"['Data Analysis & Statistics', 'Entrepreneurship', 'History']",67
"['Biology & Life Sciences', 'Business & Management', 'Math']",66
