cliq,freq
"['Computer Science', 'Math and Logic', 'Math and Logic', 'Social Sciences']",80
"['Computer Science', 'Language Learning', 'Language Learning', 'Social Sciences']",80
"['Business', 'Language Learning', 'Math and Logic', 'Physical Science and Engineering']",80
"['Physical Science and Engineering', 'Physical Science and Engineering', 'Physical Science and Engineering', 'Social Sciences']",80
"['Arts and Humanities', 'Arts and Humanities', 'Arts and Humanities', 'Business']",78
"['Arts and Humanities', 'Arts and Humanities', 'Arts and Humanities', 'Computer Science']",76
"['Business', 'Business', 'Data Science', 'Physical Science and Engineering']",76
"['Arts and Humanities', 'Arts and Humanities', 'Computer Science', 'Math and Logic']",75
"['Business', 'Business', 'Language Learning', 'Life Sciences']",72
"['Computer Science', 'Personal Development', 'Physical Science and Engineering', 'Social Sciences']",70
"['Computer Science', 'Data Science', 'Personal Development', 'Social Sciences']",70
"['Computer Science', 'Computer Science', 'Personal Development', 'Social Sciences']",70
"['Arts and Humanities', 'Life Sciences', 'Life Sciences', 'Math and Logic']",69
"['Life Sciences', 'Physical Science and Engineering', 'Physical Science and Engineering', 'Physical Science and Engineering']",69
"['Data Science', 'Data Science', 'Social Sciences', 'Social Sciences']",68
"['Arts and Humanities', 'Arts and Humanities', 'Business', 'Math and Logic']",67
"['Arts and Humanities', 'Data Science', 'Life Sciences', 'Math and Logic']",66
"['Data Science', 'Life Sciences', 'Life Sciences', 'Math and Logic']",66
"['Computer Science', 'Computer Science', 'Data Science', 'Data Science']",64
"['Arts and Humanities', 'Data Science', 'Language Learning', 'Social Sciences']",64
"['Arts and Humanities', 'Language Learning', 'Math and Logic', 'Social Sciences']",64
"['Data Science', 'Language Learning', 'Math and Logic', 'Social Sciences']",64
"['Business', 'Personal Development', 'Social Sciences', 'Social Sciences']",63
"['Arts and Humanities', 'Personal Development', 'Social Sciences', 'Social Sciences']",63
"['Life Sciences', 'Personal Development', 'Social Sciences', 'Social Sciences']",63
"['Arts and Humanities', 'Business', 'Personal Development', 'Social Sciences']",63
"['Business', 'Life Sciences', 'Personal Development', 'Social Sciences']",63
"['Arts and Humanities', 'Life Sciences', 'Personal Development', 'Social Sciences']",63
"['Arts and Humanities', 'Business', 'Business', 'Business']",62
"['Computer Science', 'Data Science', 'Data Science', 'Physical Science and Engineering']",61
"['Computer Science', 'Life Sciences', 'Math and Logic', 'Math and Logic']",60
"['Computer Science', 'Language Learning', 'Language Learning', 'Life Sciences']",60
"['Arts and Humanities', 'Language Learning', 'Life Sciences', 'Life Sciences']",60
"['Data Science', 'Language Learning', 'Life Sciences', 'Life Sciences']",60
"['Language Learning', 'Life Sciences', 'Life Sciences', 'Math and Logic']",60
"['Business', 'Business', 'Language Learning', 'Physical Science and Engineering']",60
"['Arts and Humanities', 'Arts and Humanities', 'Business', 'Data Science']",58
"['Arts and Humanities', 'Math and Logic', 'Physical Science and Engineering', 'Physical Science and Engineering']",58
"['Data Science', 'Data Science', 'Physical Science and Engineering', 'Social Sciences']",57
"['Arts and Humanities', 'Arts and Humanities', 'Life Sciences', 'Life Sciences']",56
"['Business', 'Data Science', 'Data Science', 'Life Sciences']",54
"['Business', 'Physical Science and Engineering', 'Physical Science and Engineering', 'Physical Science and Engineering']",53
"['Arts and Humanities', 'Data Science', 'Language Learning', 'Life Sciences']",52
"['Business', 'Business', 'Business', 'Physical Science and Engineering']",52
"['Arts and Humanities', 'Data Science', 'Math and Logic', 'Physical Science and Engineering']",52
"['Arts and Humanities', 'Business', 'Data Science', 'Math and Logic']",51
"['Computer Science', 'Math and Logic', 'Math and Logic', 'Physical Science and Engineering']",50
"['Computer Science', 'Language Learning', 'Language Learning', 'Physical Science and Engineering']",50
"['Arts and Humanities', 'Life Sciences', 'Life Sciences', 'Life Sciences']",50
"['Arts and Humanities', 'Physical Science and Engineering', 'Physical Science and Engineering', 'Physical Science and Engineering']",49
"['Arts and Humanities', 'Language Learning', 'Life Sciences', 'Math and Logic']",48
"['Data Science', 'Language Learning', 'Life Sciences', 'Math and Logic']",48
"['Life Sciences', 'Math and Logic', 'Math and Logic', 'Social Sciences']",48
"['Language Learning', 'Language Learning', 'Life Sciences', 'Social Sciences']",48
"['Arts and Humanities', 'Data Science', 'Language Learning', 'Physical Science and Engineering']",48
"['Arts and Humanities', 'Business', 'Business', 'Data Science']",47
"['Arts and Humanities', 'Arts and Humanities', 'Arts and Humanities', 'Life Sciences']",46
"['Arts and Humanities', 'Arts and Humanities', 'Math and Logic', 'Physical Science and Engineering']",46
"['Arts and Humanities', 'Data Science', 'Data Science', 'Social Sciences']",45
"['Arts and Humanities', 'Business', 'Computer Science', 'Personal Development']",45
"['Business', 'Computer Science', 'Life Sciences', 'Personal Development']",45
"['Arts and Humanities', 'Computer Science', 'Life Sciences', 'Personal Development']",45
"['Computer Science', 'Computer Science', 'Math and Logic', 'Math and Logic']",45
"['Computer Science', 'Computer Science', 'Language Learning', 'Language Learning']",45
"['Data Science', 'Life Sciences', 'Life Sciences', 'Life Sciences']",45
"['Business', 'Business', 'Business', 'Social Sciences']",44
"['Arts and Humanities', 'Language Learning', 'Physical Science and Engineering', 'Physical Science and Engineering']",44
"['Data Science', 'Math and Logic', 'Physical Science and Engineering', 'Physical Science and Engineering']",43
"['Personal Development', 'Physical Science and Engineering', 'Social Sciences', 'Social Sciences']",42
"['Data Science', 'Personal Development', 'Social Sciences', 'Social Sciences']",42
