"","V1","V2","V3"
"result.7794","Math and Logic","Physical Science and Engineering","Business"
"result.7795","Math and Logic","Physical Science and Engineering","Social Sciences"
"result.7796","Math and Logic","Physical Science and Engineering","Computer Science"
"result.7797","Math and Logic","Physical Science and Engineering","Computer Science"
"result.7798","Math and Logic","Physical Science and Engineering","Computer Science"
"result.7799","Math and Logic","Physical Science and Engineering","Social Sciences"
"result.7800","Math and Logic","Physical Science and Engineering","Physical Science and Engineering"
"result.7801","Math and Logic","Physical Science and Engineering","Life Sciences"
"result.7802","Math and Logic","Physical Science and Engineering","Physical Science and Engineering"
"result.7803","Math and Logic","Physical Science and Engineering","Computer Science"
"result.7804","Math and Logic","Physical Science and Engineering","Language Learning"
"result.7805","Math and Logic","Physical Science and Engineering","Computer Science"
"result.7806","Math and Logic","Computer Science","Social Sciences"
"result.7807","Math and Logic","Computer Science","Business"
"result.7808","Math and Logic","Computer Science","Data Science"
"result.7809","Math and Logic","Computer Science","Arts and Humanities"
"result.7810","Math and Logic","Computer Science","Social Sciences"
"result.7811","Math and Logic","Computer Science","Life Sciences"
"result.7812","Math and Logic","Computer Science","Computer Science"
"result.7813","Math and Logic","Computer Science","Computer Science"
"result.7814","Math and Logic","Computer Science","Language Learning"
"result.7815","Math and Logic","Computer Science","Business"
"result.7816","Math and Logic","Computer Science","Business"
"result.7817","Math and Logic","Computer Science","Social Sciences"
"result.7818","Math and Logic","Computer Science","Computer Science"
"result.7819","Math and Logic","Computer Science","Computer Science"
"result.7820","Math and Logic","Computer Science","Computer Science"
"result.7821","Math and Logic","Computer Science","Social Sciences"
"result.7822","Math and Logic","Computer Science","Physical Science and Engineering"
"result.7823","Math and Logic","Computer Science","Life Sciences"
"result.7824","Math and Logic","Computer Science","Physical Science and Engineering"
"result.7825","Math and Logic","Computer Science","Computer Science"
"result.7826","Math and Logic","Computer Science","Language Learning"
"result.7827","Math and Logic","Computer Science","Computer Science"
"result.7828","Math and Logic","Social Sciences","Business"
"result.7829","Math and Logic","Social Sciences","Data Science"
"result.7830","Math and Logic","Social Sciences","Arts and Humanities"
"result.7831","Math and Logic","Social Sciences","Social Sciences"
"result.7832","Math and Logic","Social Sciences","Life Sciences"
"result.7833","Math and Logic","Social Sciences","Computer Science"
"result.7834","Math and Logic","Social Sciences","Computer Science"
"result.7835","Math and Logic","Social Sciences","Language Learning"
"result.7836","Math and Logic","Social Sciences","Business"
"result.7837","Math and Logic","Social Sciences","Business"
"result.7838","Math and Logic","Social Sciences","Social Sciences"
"result.7839","Math and Logic","Social Sciences","Computer Science"
"result.7840","Math and Logic","Social Sciences","Computer Science"
"result.7841","Math and Logic","Social Sciences","Computer Science"
"result.7842","Math and Logic","Social Sciences","Social Sciences"
"result.7843","Math and Logic","Social Sciences","Physical Science and Engineering"
"result.7844","Math and Logic","Social Sciences","Life Sciences"
"result.7845","Math and Logic","Social Sciences","Physical Science and Engineering"
"result.7846","Math and Logic","Social Sciences","Computer Science"
"result.7847","Math and Logic","Social Sciences","Language Learning"
"result.7848","Math and Logic","Social Sciences","Computer Science"
"result.7849","Math and Logic","Business","Data Science"
"result.7850","Math and Logic","Business","Arts and Humanities"
"result.7851","Math and Logic","Business","Social Sciences"
"result.7852","Math and Logic","Business","Life Sciences"
"result.7853","Math and Logic","Business","Computer Science"
"result.7854","Math and Logic","Business","Computer Science"
"result.7855","Math and Logic","Business","Language Learning"
"result.7856","Math and Logic","Business","Business"
"result.7857","Math and Logic","Business","Business"
"result.7858","Math and Logic","Business","Social Sciences"
"result.7859","Math and Logic","Business","Computer Science"
"result.7860","Math and Logic","Business","Computer Science"
"result.7861","Math and Logic","Business","Computer Science"
"result.7862","Math and Logic","Business","Social Sciences"
"result.7863","Math and Logic","Business","Physical Science and Engineering"
"result.7864","Math and Logic","Business","Life Sciences"
