"","node1","node2","cluster"
"685","408","12705","56"
"686","408","14150","56"
"687","12705","14150","56"
"688","69885","75462","57"
"689","12695","75462","57"
"690","30","75462","57"
"691","104","75462","57"
"692","70322","75462","57"
"693","3263","75462","57"
"694","75462","3611","57"
"695","75462","139","57"
"696","75462","239","57"
"697","75462","201","57"
"698","75462","3360","57"
"699","75462","3354","57"
"700","75462","88","57"
"701","75462","16","57"
"702","75462","50528","57"
"703","75462","112","57"
"704","75462","105","57"
"705","75462","407","57"
"706","75462","22","57"
"707","75462","76","57"
"708","75462","156","57"
"709","75462","51467","57"
"710","75462","51446","57"
"711","36392","30","58"
"712","36392","31","58"
"713","36392","60","58"
"714","36392","16","58"
"715","36392","16068","58"
"716","36392","79","58"
"717","36392","12699","58"
"718","30","31","58"
"719","30","60","58"
"720","30","16068","58"
"721","30","79","58"
"722","30","12699","58"
"723","3263","12699","58"
"724","31","60","58"
"725","31","16068","58"
"726","31","79","58"
"727","31","12699","58"
"728","60","16","58"
"729","60","16068","58"
"730","60","79","58"
"731","60","12699","58"
"732","16","16068","58"
"733","16","79","58"
"734","16","12699","58"
"735","105","12699","58"
"736","16068","79","58"
"737","16068","12699","58"
"738","79","12699","58"
"739","69742","12","59"
"740","12","51467","59"
"741","12","418","59"
"742","12","35","59"
"743","12","20","59"
"744","12","214","59"
"745","12","188","59"
"746","12","340","59"
"747","12","246","59"
"748","12","22","59"
"749","12","63","59"
"750","12","351","59"
"751","12","136","59"
"752","12","98","59"
"753","12","414","59"
"754","12","51446","59"
"755","12","217","59"
"756","12","384","59"
"757","12","76","59"
"758","12","139","59"
"759","12","138","59"
"760","12","85","59"
"761","12","250","59"
"762","12","70338","59"
"763","12","379","59"
"764","12","24","59"
"765","12","12690","59"
"766","12","468","59"
"767","12","70322","59"
"768","12","75462","59"
"769","12","407","59"
"770","12","426","59"
"771","12","156","59"
"772","12","6820","59"
"773","12","3336","59"
"774","12","71","59"
"775","12","1177","59"
"776","12","201","59"
"777","12","6287","59"
"778","12","14150","59"
"779","12","69","59"
"780","86","3370","60"
"781","63","3370","60"
"782","379","3370","60"
"783","40","3336","60"
"784","40","3370","60"
"785","38","3370","60"
"786","3336","3370","60"
"787","3336","54","60"
"788","1177","3370","60"
"789","3370","214","60"
"790","3370","54","60"
"791","3370","98","60"
"792","69885","201","61"
"793","12695","201","61"
"794","104","201","61"
"795","63","201","61"
"796","6820","201","61"
"797","3336","201","61"
"798","3199","201","61"
"799","217","201","61"
"800","71","201","61"
"801","244","201","61"
"802","137","201","61"
"803","407","201","61"
"804","122","201","61"
"805","35","201","61"
"806","101","201","61"
"807","1177","201","61"
"808","81","201","61"
"809","3611","201","61"
"810","411","201","61"
"811","433","201","61"
"812","200","201","61"
"813","61","201","61"
"814","139","201","61"
"815","29","201","61"
"816","201","214","61"
"817","201","377","61"
"818","201","3361","61"
"819","201","416","61"
"820","201","240","61"
"821","201","96","61"
"822","201","202","61"
"823","201","136","61"
"824","201","98","61"
"825","201","6287","61"
"826","201","14150","61"
"827","26","379","62"
"828","196","379","62"
"829","63","379","62"
"830","359","379","62"
"831","419","379","62"
"832","167","379","62"
"833","379","40","62"
"834","379","3336","62"
"835","379","1177","62"
"836","379","214","62"
"837","379","54","62"
"838","379","98","62"
"839","379","246","62"
"840","379","6820","62"
"841","379","71","62"
"842","379","201","62"
"843","379","136","62"
"844","379","6287","62"
"845","379","14150","62"
"846","379","183","62"
"847","379","38","62"
"848","379","192","62"
"849","379","391","62"
"850","379","3199","62"
"851","379","217","62"
"852","379","67","62"
"853","379","180","62"
"854","379","69","62"
"855","379","55","62"
"856","379","3361","62"
"857","379","3339","62"
"858","379","464","62"
"859","379","159","62"
"860","379","202","62"
"861","379","51467","62"
"862","379","29","62"
"863","379","188","62"
"864","379","3360","62"
"865","196","14381","63"
"866","196","414","63"
"867","196","19166","63"
"868","379","14381","63"
"869","379","414","63"
"870","379","19166","63"
"871","1177","414","63"
"872","14381","414","63"
"873","14381","19166","63"
"874","414","19166","63"
"875","81876","69985","64"
"876","81876","86","64"
"877","81876","108","64"
"878","81876","69195","64"
"879","81876","63","64"
"880","81876","379","64"
"881","81876","40","64"
"882","81876","3336","64"
"883","81876","1177","64"
"884","81876","3370","64"
"885","81876","214","64"
"886","81876","54","64"
"887","81876","16","64"
"888","81876","137","64"
"889","81876","411","64"
"890","69985","86","65"
"891","14123","86","65"
"892","86","108","65"
"893","86","63","65"
"894","86","379","65"
"895","86","40","65"
"896","86","3336","65"
"897","86","1177","65"
"898","86","214","65"
"899","86","54","65"
"900","86","12695","65"
"901","86","104","65"
"902","86","355","65"
"903","86","418","65"
"904","86","390","65"
"905","86","12","65"
"906","86","12636","65"
"907","86","35","65"
"908","86","20","65"
"909","86","188","65"
"910","86","51467","65"
"911","86","246","65"
"912","86","97","65"
"913","86","51446","65"
"914","86","244","65"
