title,provider,school,rating,review_count,language,price,description,url,course_id
Intermediate Algebra,Coursera,"University of California, Irvine",4,2,,FREE,This course is taught so that students will acquire a solid foundation in algebra. The course concentrates on the various functions that are important to the study of calculus.,/enroll?course_id=197,197
Preparation for Introductory Biology: DNA to Organisms,Coursera,"University of California, Irvine",4,4,,FREE,"Through this class you should be able to explain basic concepts in cellular and molecular biology using correct terminology, as well as develop critical thinking and problem-solving skills that can be applied to all of your studies of biology.",/enroll?course_id=199,199
"Science, Technology, and Society in China I: Basic Concepts",Coursera,The Hong Kong University of Science and Technology,3,2,,FREE,"What are science, technology, and innovation? How do science, technology, and innovation inform our understanding of developments in the social sphere? How have these domains evolved in the Chinese context? In this course, we will examine these issues and attempt answering these and many other questions!",/enroll?course_id=200,200
"Nutrition, Health, and Lifestyle: Issues and Insights",Coursera,Vanderbilt University,4,6,,FREE,This seven week course will explore nutrition concepts that take center stage in mainstream media outlets and become conversation topics among consumers interested in food choice as it relates to optimal health and physical performance.,/enroll?course_id=217,217
The Camera Never Lies,Coursera,University of London,3,2,,FREE,"Film, images & historical interpretation in the 20th century for those who have a general interest in history that draws on photojournalism as primary evidence, and films based on historical events.",/enroll?course_id=225,225
Social Psychology,Coursera,Wesleyan University,4,24,,FREE,Ever wonder why people do what they do? This course offers some answers based on the latest research from social psychology.,/enroll?course_id=239,239
Surviving Disruptive Technologies,Coursera,"University of Maryland, College Park",2,6,,FREE,"The purpose of this course is to help participants and the organizations they encounter survive the waves of technological disruptions facing business, government, education and their daily lives.",/enroll?course_id=240,240
The Law of the European Union: An Introduction,Coursera,Universiteit Leiden,4,3,,FREE,"The EU is the most successful supranational legal order to which 27 Member States have transferred sovereign rights. This course explores the functioning of the unique creature that is the EU, the impact of its laws on states, citizens and companies, and the current challenges it faces.",/enroll?course_id=244,244
General Game Playing,Coursera,Stanford University,3,6,,FREE,Learn about General Game Playing (GGP) and develop GGP programs capable of competing against humans and other programs in GGP competitions .,/enroll?course_id=246,246
TechniCity,Coursera,The Ohio State University,4,1,,FREE,"We live in real-time, technologically enhanced cities. Explore the sweeping changes that our cities are undergoing as a result of networks, sensors, and communication technology.",/enroll?course_id=248,248
Computational Methods for Data Analysis,Coursera,University of Washington,4,7,,FREE,"Exploratory and objective data analysis methods applied to the physical, engineering, and biological sciences.",/enroll?course_id=250,250
"""Pay Attention!!"" ADHD Through the Lifespan",Coursera,University of Pennsylvania,4,4,,FREE,"This course reviews current scientific knowledge and clinical approaches to Attention-Deficit/Hyperactivity Disorder (ADHD) and examines its impact on development, functioning and health outcomes.",/enroll?course_id=328,328
Startup Engineering,Coursera,Stanford University,4,11,,FREE,Learn the engineering skills needed to build a technology startup from the ground up.,/enroll?course_id=340,340
Writing II: Rhetorical Composing,Coursera,The Ohio State University,4,1,,FREE,"Rhetorical Composing engages you in a series of interactive reading, research, and composing activities along with assignments designed to help you become more effective consumers and producers of alphabetic, visual and multimodal texts. Join us to become more effective writers... and better citizens.",/enroll?course_id=341,341
Introduction to Psychology as a Science,Coursera,Georgia Institute of Technology,3,3,,FREE,Learn about how psychology has developed a body of knowledge about behavior and mind through the use of scientific methods. All areas of psychology will be covered.,/enroll?course_id=344,344
The Global Business of Sports,Coursera,University of Pennsylvania,4,1,,FREE,This course analyzes the business side of sports and discusses the intricacies of global sports leagues as well as various countries' sports strategies. You will be equipped with a framework and tools to understand and evaluate the business side of competitive sports around the world.,/enroll?course_id=346,346
Statistics: Making Sense of Data,Coursera,University of Toronto,4,7,,FREE,"This course is an introduction to the key ideas and principles of the collection, display, and analysis of data to guide you in making valid and appropriate conclusions about the world.",/enroll?course_id=351,351
High Performance Scientific Computing,Coursera,University of Washington,3,2,,FREE,"Programming-oriented course on effectively using modern computers to solve scientific computing problems arising in the physical/engineering sciences and other fields. Provides an introduction to efficient serial and parallel computing using Fortran 90, OpenMP, MPI, and Python, and software development tools such as version control, Makefiles, and debugging.",/enroll?course_id=355,355
Computational Molecular Evolution,Coursera,Technical University of Denmark (DTU),5,4,,FREE,"In this course you will learn about how and why DNA and protein sequences evolve. You will learn the theory behind methods for building and analyzing phylogenetic trees, and get hands-on experience with some widely used software packages.",/enroll?course_id=357,357
Social Epidemiology,Coursera,University of Minnesota,5,3,,FREE,"Social epidemiology is about how a society makes people sick and/or healthy. We address not only the identification of new disease risk factors (e.g., deficient social capital) but also how well-known exposures (e.g., cigarette smoking, lead paint, health insurance) emerge and are maintained by the social system.",/enroll?course_id=359,359
Sustainability of Food Systems: A Global Life Cycle Perspective,Coursera,University of Minnesota,4,3,,FREE,"This course explores the diversity of the foods we eat, the ways in which we grow, process, distribute, and prepare them, and the impacts they have upon our environment, health, and society. We will also examine the challenges and opportunities of creating a more sustainable global food system in the future.",/enroll?course_id=362,362
Information Theory,Coursera,The Chinese University of Hong Kong,3,3,,FREE,"This course is an introduction to information theory, which emphasizes fundamental concepts as well as analytical techniques. Specific topics include: Information Measures, The I-Measure, Zero-Error Data Compression, Weak Typicality, Strong Typicality, Discrete Memoryless Channels, etc.",/enroll?course_id=374,374
International Organizations Management,Coursera,University of Geneva,4,1,,FREE,This course provides an overview of the management challenges international organizations & NGOs are faced with. You will learn key theoretical frameworks and practical tools to excel in this environment.,/enroll?course_id=377,377
Introduction to Art: Concepts & Techniques,Coursera,The Pennsylvania State University,4,1,,FREE,"Learn to identify and define various art movements, artists, and their artworks. Convey a personal appreciation for art concepts, techniques, and approaches through the creation and sharing of your own original artwork.",/enroll?course_id=378,378
"Energy, the Environment, and Our Future",Coursera,The Pennsylvania State University,5,9,,FREE,"Get Rich and Save the Earth¡¦Or Else! Learn about the past, present, and possible futures of human energy use.",/enroll?course_id=382,382
Human Evolution: Past and Future,Coursera,University of Wisconsin?Madison,3,3,,FREE,"Introduction to the science of human origins, the fossil and archaeological record, and genetic ancestry of living and ancient human populations. The course emphasizes the ways our evolution touches our lives, including health and diet, and explores how deep history may shape the future of our species.",/enroll?course_id=384,384
Video Games and Learning,Coursera,University of Wisconsin?Madison,4,3,,FREE,"Video games aren¡¯t just fun, they can be powerful vehicles for learning as well. In this course, we discuss research on the kinds of thinking and learning that go into video games and gaming culture, benefits and drawbacks of digital gameplay, tensions between youth culture and traditional education, and new developments intended to bridge that growing divide.",/enroll?course_id=385,385
Markets with Frictions,Coursera,University of Wisconsin?Madison,3,2,,FREE,"This course explores markets with frictions. The goal is to sharpen our economic reasoning, add a few twists that you are unlikely to have seen in other courses, and apply the methods to interesting phenomena. This should improve the way you think analytically about the economy, and help address interesting issues that come up in the real world.",/enroll?course_id=387,387
Introduction to Mathematical Philosophy,Coursera,Ludwig-Maximilians-Universit?t M?nchen (LMU),4,6,,FREE,Learn how to apply mathematical methods to philosophical problems and questions.,/enroll?course_id=390,390
Programmed cell death,Coursera,Ludwig-Maximilians-Universit?t M?nchen (LMU),4,5,,FREE,"Billions of cells in the body die every day. How and why do these cells die? If you want to know the answers to these questions and if you also would like to know how scientists figured them out, this course might interest you.",/enroll?course_id=391,391
"Live!:  A History of Art for Artists, Animators and Gamers",Coursera,California Institute of the Arts,3,2,,FREE,"Explore art history from the artist's perspective. Learn how contemporary artists, animators and gamers work from the art of the past as part of their creative process, while building your own skills in visual analysis and creative and critical thinking.",/enroll?course_id=395,395
Law and the Entrepreneur,Coursera,Northwestern University,4,2,,FREE,"This course will highlight the critical legal and business issues entrepreneurs face as they build and launch a new venture. We will explore real world scenarios, and address the legal and business issues that entrepreneurs face, from the moment they conceive of the ""million dollar idea"" to all of the important junctures along the path to success.",/enroll?course_id=398,398
Volcanic Eruptions: a material science.,Coursera,Ludwig-Maximilians-Universit?t M?nchen (LMU),4,1,,FREE,Volcanic eruptions are a powerful demonstration of the energy of the Earth¢¥s interior. A materials-based understanding of the evolution of erupting systems provides a quantitative physico-chemical description of the nature of lava and magma and the role of experiments in quantifying the eruptive process.,/enroll?course_id=408,408
Early Renaissance Architecture in Italy: from Alberti to Bramante,Coursera,Sapienza University of Rome,2,3,,FREE,"Through some of the most celebrated examples of the early Renaissance architecture and the most important statements of the early Renaissance theories, the course will examine problems of the architectural spaces, technology and forms looking to the antiquity in the XV century in Italy.",/enroll?course_id=410,410
Crafting an Effective Writer: Tools of the Trade (Fundamental English Writing),Coursera,Mt. San Jacinto College,3,9,,FREE,"Learn to become an effective builder of sentences using the basic tools of English grammar, punctuation, and writing in this FREE and open course. This is a fundamental English writing course.",/enroll?course_id=411,411
Understanding Media by Understanding Google,Coursera,Northwestern University,3,6,,FREE,"Few people who ¡°just Google it¡± to find an answer to their every question understand just what the company does (and why). Through this course, you'll join the minority that really gets it.",/enroll?course_id=414,414
Latin American Culture,Coursera,Tecnol?gico de Monterrey,3,1,,FREE,This course seeks to interest students in the Latin American culture by studying it from multiple perspectives.,/enroll?course_id=416,416
Linear and Integer Programming,Coursera,University of Colorado Boulder,5,38,,FREE,This course will cover the very basic ideas in optimization. Topics include the basic theory and algorithms behind linear and integer linear programming along with some of the important applications. We will also explore the theory of convex polyhedra using linear programming.,/enroll?course_id=418,418
